metric,S4_MaxCoverage
coverage_score,0.993446875
detection.detection_gmm.mean,0.4826771392405715
detection.detection_linear.mean,0.7078466744059244
detection.detection_xgb.mean,0.8045678669838846
mmd,0.07598125
nn_identifiability,0.782665625
prdc_precision,0.663440625
prdc_recall,0.8871562500000001
privacy.delta-presence.score,36.57282287425911
privacy.distinct l-diversity.gt,8.875
privacy.distinct l-diversity.syn,4.437500010000001
privacy.identifiability_score.,0.30150048238056987
privacy.identifiability_score._privacy.identifiability_score.OC,0.2996356029728796
privacy.k-anonymization.gt,8.875
privacy.k-anonymization.syn,4.437500010000001
privacy.k-map.score,9.78125
sanity.close_values_probability.score,0.6729980692753278
sanity.common_rows_proportion.score,0.009374999996875
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.014576601198707502
sanity.nearest_syn_neighbor_distance.mean,0.16799273517518812
stats.alpha_precision.authenticity_OC,0.6364274546535017
stats.alpha_precision.authenticity_naive,0.6823079071073518
stats.alpha_precision.delta_coverage_beta_OC,0.3152423483185672
stats.alpha_precision.delta_coverage_beta_naive,0.3020545889807443
stats.alpha_precision.delta_precision_alpha_OC,0.6337345095769834
stats.alpha_precision.delta_precision_alpha_naive,0.6225421115890948
stats.inv_kl_divergence.marginal,0.7877329052675052
stats.jensenshannon_dist.marginal,0.022558768371846866
stats.ks_test.marginal,0.7452699156937224
stats.max_mean_discrepancy.joint,0.015108824357321774
stats.prdc.coverage,0.5882070093059351
stats.prdc.density,0.7979096898946461
stats.prdc.precision,0.9334310666448147
stats.prdc.recall,0.985039851647147
stats.wasserstein_dist.joint,0.5166263709543273
performance.feat_rank_distance.corr_class,0.1918729424193298
performance.feat_rank_distance.corr_reg,0.7618644934052429
performance.feat_rank_distance.pvalue_class,0.13021132079448738
performance.feat_rank_distance.pvalue_reg,0.008246744078586887
performance.linear_model.gt_class,0.8814151078455157
performance.linear_model.gt_reg,0.5939638320775591
performance.linear_model.syn_id_class,0.8573052409289273
performance.linear_model.syn_id_reg,0.5429384874196315
performance.linear_model.syn_ood_class,0.8563165548109759
performance.linear_model.syn_ood_reg,0.5320158369501327
performance.mlp.gt_class,0.6861443407215471
performance.mlp.gt_reg,-3097.2224824523364
performance.mlp.syn_id_class,0.5729898746670564
performance.mlp.syn_id_reg,-3667.8399722191107
performance.mlp.syn_ood_class,0.6070504709260891
performance.mlp.syn_ood_reg,-3413.6620375418174
performance.xgb.gt_class,0.949051309050088
performance.xgb.gt_reg,0.7156528768685264
performance.xgb.syn_id_class,0.9106156952207337
performance.xgb.syn_id_reg,0.6854008564230981
performance.xgb.syn_ood_class,0.9101628395959801
performance.xgb.syn_ood_reg,0.6662664816203882
