,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.011395234876825186,0.02279604629232509,0.017366525175347015,0.004703007870916355
sanity.close_values_probability.score,0.9893723015609432,0.9963467286615743,0.9938558618399203,0.003097767868843838
sanity.distant_values_probability.score,0.00033211557622052476,0.0018266356692128861,0.0008718033875788775,0.0006694003444286408
stats.jensenshannon_dist.marginal,0.017976578604867507,0.019308854538920426,0.018756198395282378,0.0005887320495592755
stats.inv_kl_divergence.marginal,0.8008347200381382,0.8112568725611081,0.806330921259196,0.005138560114592245
stats.ks_test.marginal,0.7578757444924167,0.7725746782102393,0.7674213513858379,0.006806642502769328
stats.max_mean_discrepancy.joint,0.00216623999255024,0.002222392441331946,0.002182291416756707,2.7002218624791695e-05
stats.wasserstein_dist.joint,2.1783037185668945,2.1853179931640625,2.181924819946289,0.0033139715488720196
stats.alpha_precision.delta_precision_alpha_OC,0.9114666666666666,0.9721229746572497,0.9451020080321285,0.025470701788867373
stats.alpha_precision.delta_coverage_beta_OC,0.2750666666666667,0.33013333333333317,0.30527336010709505,0.022714882979966742
stats.alpha_precision.authenticity_OC,0.614,0.7289156626506024,0.6717289156626506,0.04828767512897865
stats.alpha_precision.delta_precision_alpha_naive,0.40613333333333324,0.43666666666666665,0.4188518072289157,0.012929753905048547
stats.alpha_precision.delta_coverage_beta_naive,0.10493333333333354,0.13386880856760375,0.12283386880856759,0.012553036245515741
stats.alpha_precision.authenticity_naive,0.7008032128514057,0.806,0.7652008032128514,0.0462891858950546
stats.prdc.precision,0.942,0.9618473895582329,0.9519618473895581,0.00946863697732082
stats.prdc.recall,0.9890401859847227,0.996844902025905,0.9938558618399203,0.0033733308945406125
stats.prdc.density,0.8144,0.8409638554216867,0.8234409638554216,0.012527866340337843
stats.prdc.coverage,0.2095649285951511,0.2228495516439721,0.21712055795416804,0.005566445966451648
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739095,0.0
performance.linear_model.syn_id,0.5406676403479171,0.6473917136532543,0.5927576923195753,0.0511592870062418
performance.linear_model.syn_ood,0.5407563433730959,0.6472558380807469,0.5927156398462997,0.05108470529974247
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.49823424685520823,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.8345528826662563,0.8474301947722314,0.8430465000877829,0.005996983252829874
performance.xgb.syn_ood,0.8344657078485348,0.8472994594150455,0.8430159579894643,0.006021966243101712
performance.feat_rank_distance.corr,0.010059180570365235,0.32691508404803704,0.12773190378507498,0.14210997852617183
performance.feat_rank_distance.pvalue,8.560128734431436e-65,0.6009628708045143,0.1559976474235582,0.2968420365085002
detection.detection_xgb.mean,0.9338613470626642,0.9520674473745881,0.9468459684084611,0.008679457126279001
detection.detection_gmm.mean,0.4908887222398368,0.6973784813297502,0.5805718590663949,0.09640747381512245
detection.detection_linear.mean,0.8535350113394597,0.8663455438993122,0.860119719047076,0.00585143402270884
privacy.delta-presence.score,20.235294105743943,33.61538458952663,26.040794666523748,5.829291436421898
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,11.0,4.25,4.573474244670748
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.051976087678512126,0.0577881102623713,0.05450846894719362,0.002835571463321849
privacy.identifiability_score._privacy.identifiability_score.OC,0.05014945200929924,0.05230820325473265,0.05127034207904351,0.0009233270960706446
prdc_precision,0.156,0.176,0.16165000000000002,0.009603298044595579
prdc_recall,0.9922,0.9945,0.992975,0.001037223858833463
nn_identifiability,0.9583,0.9633,0.9611750000000001,0.0023599081903045707
coverage_score,1.0,1.0,1.0,0.0
mmd,0.017,0.0239,0.020900000000000002,0.0028647280266487192
