,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.03333333332222222,0.13333333328888888,0.074999999975,0.04194352462641188
sanity.nearest_syn_neighbor_distance.mean,0.34328057083003166,0.49708492485973726,0.4050311308415646,0.06543867482115215
sanity.close_values_probability.score,0.16666666666666666,0.23333333333333334,0.19166666666666665,0.03191423692521128
sanity.distant_values_probability.score,0.03333333333333333,0.1,0.06666666666666667,0.027216552697590872
stats.jensenshannon_dist.marginal,0.024340390366473307,0.026307664001200298,0.02507550735262082,0.0008994864604384734
stats.inv_kl_divergence.marginal,0.6389909277579928,0.7034748010020799,0.6774812064553055,0.031543579275313795
stats.ks_test.marginal,0.7699999999999999,0.8099999999999999,0.7891666666666667,0.017716909687891084
stats.max_mean_discrepancy.joint,0.04059086461849659,0.05397916374316597,0.04591065527390707,0.005907260526827281
stats.wasserstein_dist.joint,0.043741412460803986,0.06805068254470825,0.05569574609398842,0.01106507570519542
stats.alpha_precision.delta_precision_alpha_OC,0.7795402298850576,0.8898850574712643,0.8432758620689655,0.04768305062177128
stats.alpha_precision.delta_coverage_beta_OC,0.2669731800766283,0.5177777777777778,0.4167816091954023,0.1062025287563935
stats.alpha_precision.authenticity_OC,0.5333333333333333,0.6666666666666666,0.575,0.06309898162000303
stats.alpha_precision.delta_precision_alpha_naive,0.8414559386973179,0.9085057471264368,0.8682183908045977,0.028880274537064442
stats.alpha_precision.delta_coverage_beta_naive,0.3733333333333333,0.5139463601532567,0.42519157088122606,0.0614660458975166
stats.alpha_precision.authenticity_naive,0.5,0.6,0.5583333333333333,0.04194352464039304
stats.prdc.precision,0.9833333333333333,1.0,0.9916666666666667,0.009622504486493794
stats.prdc.recall,0.9,1.0,0.9583333333333334,0.04194352464039304
stats.prdc.density,0.9333333333333335,1.0066666666666666,0.9641666666666668,0.03414294569513205
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.975,0.975,0.975,0.0
performance.linear_model.syn_id,0.9875,0.9951388888888889,0.9906250000000001,0.0037824385736963105
performance.linear_model.syn_ood,0.9833333333333332,0.9888888888888889,0.9854166666666666,0.0026595197437677028
performance.mlp.gt,0.75275,0.75275,0.75275,0.0
performance.mlp.syn_id,0.77875,0.8379999999999999,0.8144375,0.025221828343718396
performance.mlp.syn_ood,0.7291666666666667,1.0,0.859375,0.12708839293712684
performance.xgb.gt,0.9583333333333333,0.9583333333333333,0.9583333333333333,0.0
performance.xgb.syn_id,0.9199652777777778,0.990451388888889,0.9563802083333334,0.03252367587633668
performance.xgb.syn_ood,0.9194444444444445,0.9888888888888889,0.9541666666666667,0.03013174091717218
performance.feat_rank_distance.corr,-0.1324114153097175,0.16668274409560163,-0.007160716003487069,0.1291646456156734
performance.feat_rank_distance.pvalue,0.3550829139502302,0.9691995843428849,0.6220293567454135,0.27246147080346994
detection.detection_xgb.mean,0.5291666666666667,0.5958333333333333,0.5635416666666666,0.032421458594058566
detection.detection_gmm.mean,0.36111111111111116,0.43888888888888894,0.4003472222222223,0.03287444549595729
detection.detection_linear.mean,0.4083333333333333,0.5944444444444444,0.5350694444444444,0.08789501517956316
privacy.delta-presence.score,0.6470588231487889,0.7333333328444444,0.6888480387834646,0.035255800234352236
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0
privacy.k-anonymization.syn,4.00000001,7.00000001,5.25000001,1.2583057392117916
privacy.k-map.score,15.0,17.0,16.0,0.816496580927726
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0
privacy.distinct l-diversity.syn,4.00000001,7.00000001,5.25000001,1.2583057392117916
privacy.identifiability_score.,0.5666666666666667,0.7333333333333333,0.6333333333333333,0.07200822998230953
privacy.identifiability_score._privacy.identifiability_score.OC,0.6333333333333333,0.8,0.7166666666666667,0.07934920476158727
prdc_precision,0.9,0.9333,0.9125,0.0159455322896415
prdc_recall,0.8667,1.0,0.9500249999999999,0.05772540601849414
nn_identifiability,0.4839,0.5794,0.5236000000000001,0.04130964374896821
coverage_score,0.95,1.0,0.96875,0.023935677693908475
mmd,0.0087,0.0289,0.02025,0.008997221793420456
