,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.19071354789459857,0.22511208858694895,0.20883331224060678,0.01648447668269233
sanity.close_values_probability.score,0.43191377497371186,0.610410094637224,0.5122896950578338,0.0854107311379603
sanity.distant_values_probability.score,0.0002628811777076761,0.0007886435331230284,0.0005914826498422713,0.0002516895656562403
stats.jensenshannon_dist.marginal,0.044407366402457155,0.04541867789892078,0.044900950641182366,0.0005134948133591657
stats.inv_kl_divergence.marginal,0.6224893892349148,0.6343401145157123,0.6277130084978922,0.0060664146198294655
stats.ks_test.marginal,0.5588568786185751,0.5759096382569976,0.5676588919290804,0.007725728314352206
stats.max_mean_discrepancy.joint,0.002264320514476591,0.002280449546742996,0.0022733788438891664,6.884388493325454e-06
stats.wasserstein_dist.joint,0.7480098009109497,0.7498235106468201,0.7491226196289062,0.0008182097157271633
stats.alpha_precision.delta_precision_alpha_OC,0.14879032258064517,0.22065727699530524,0.19569135103187246,0.03309485242971084
stats.alpha_precision.delta_coverage_beta_OC,0.04005376344086031,0.09376257545271649,0.06679143412098457,0.022169809768346514
stats.alpha_precision.authenticity_OC,0.7847082494969819,0.9173387096774194,0.869393265898018,0.058375265069368486
stats.alpha_precision.delta_precision_alpha_naive,0.2803212851405621,0.2953722334004024,0.29084192802233794,0.0071221099263611976
stats.alpha_precision.delta_coverage_beta_naive,0.1617333333333334,0.18427419354838703,0.16904647996585978,0.010546619010143704
stats.alpha_precision.authenticity_naive,0.8165322580645161,0.9196787148594378,0.8527901677782721,0.046803100077575994
stats.prdc.precision,0.902,0.929718875502008,0.9146295955549335,0.012398174058140256
stats.prdc.recall,0.9989484752891693,0.9997371188222923,0.9992770767613038,0.00039432176656151174
stats.prdc.density,0.6512,0.6784708249496982,0.6585747537824433,0.013274719017730726
stats.prdc.coverage,0.13801261829652997,0.14379600420609884,0.14037854889589907,0.0026636319932650987
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.7660293621684942,0.8001933088881575,0.779918518950576,0.014432699560057414
performance.linear_model.syn_ood,0.7663269140831468,0.800020133759746,0.7798965423619164,0.014275063167761087
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.5,0.5002525252525253,0.5000631313131313,0.00012626262626264095
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.8048822537820504,0.8237780687737306,0.814793926777127,0.008437077158552743
performance.xgb.syn_ood,0.8054828181974996,0.824148913567196,0.8151922581112332,0.008363653665995289
performance.feat_rank_distance.corr,-0.27194826751504253,-0.11542291998063488,-0.1913782577560547,0.08711825474930772
performance.feat_rank_distance.pvalue,2.9976851688538755e-29,1.8869940859601162e-06,8.40294534452331e-07,9.848156647571436e-07
detection.detection_xgb.mean,0.9283553147492631,0.9306366668622736,0.929600821663275,0.0009898102686853533
detection.detection_gmm.mean,0.10923437218159884,0.5429132594008415,0.32929625594069195,0.18010987240703755
detection.detection_linear.mean,0.9167689564571646,0.9212548481215782,0.9188552967254675,0.0018893066541687967
privacy.delta-presence.score,190.6666660311111,285.99999857,238.33333230055555,55.04072520407161
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,6.00000001,12.00000001,8.25000001,2.6299556396765835
privacy.k-map.score,2.0,3.0,2.5,0.5773502691896257
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,6.00000001,12.00000001,8.25000001,2.6299556396765835
privacy.identifiability_score.,0.05231335436382755,0.05704521556256572,0.05566508937960042,0.0022447754043900276
privacy.identifiability_score._privacy.identifiability_score.OC,0.031808622502628815,0.03811777076761304,0.03509463722397477,0.0030993233760650855
prdc_precision,0.6593,0.6901,0.680025,0.014502729628130928
prdc_recall,0.8436,0.9892,0.9386249999999999,0.06618994762550175
nn_identifiability,0.9196,0.9302,0.9255500000000001,0.004453088815642489
coverage_score,1.0,1.0,1.0,0.0
mmd,0.2074,0.2132,0.2098,0.0024385788210895846
