,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.008090144461159356,0.019964249476919712,0.01412455956370424,0.0060805384691509775
sanity.close_values_probability.score,0.9853881278538813,0.9954337899543378,0.9904109589041095,0.004504915855996534
sanity.distant_values_probability.score,0.0009132420091324201,0.0027397260273972603,0.0015981735159817352,0.0008743626554852404
stats.jensenshannon_dist.marginal,0.01705856723145239,0.017950900328110246,0.01747207076509899,0.00036757403081753197
stats.inv_kl_divergence.marginal,0.8784966958027741,0.882074635634158,0.880477448901336,0.0014807655132953116
stats.ks_test.marginal,0.6658051016172347,0.6847555002075549,0.6775886768156827,0.008341086447432871
stats.max_mean_discrepancy.joint,0.00292659550210352,0.002967904284415347,0.0029470366050385415,2.332524198420309e-05
stats.wasserstein_dist.joint,0.27393069863319397,0.28289252519607544,0.2779240384697914,0.0037597249392639434
stats.alpha_precision.delta_precision_alpha_OC,0.1703401360544219,0.3114285714285714,0.250208843537415,0.05862433436147918
stats.alpha_precision.delta_coverage_beta_OC,0.13088435374149643,0.24119999999999997,0.19201972789115643,0.047193008953621524
stats.alpha_precision.authenticity_OC,0.7183673469387755,0.8204081632653061,0.7676938775510205,0.043702177607543316
stats.alpha_precision.delta_precision_alpha_naive,0.42272108843537415,0.4733333333333334,0.450056462585034,0.022394751613051347
stats.alpha_precision.delta_coverage_beta_naive,0.23586666666666678,0.28027210884353737,0.25989387755102045,0.02270777488199403
stats.alpha_precision.authenticity_naive,0.734,0.8306122448979592,0.7770306122448979,0.040027026479779806
stats.prdc.precision,0.8673469387755102,0.886,0.878234693877551,0.007827331021874785
stats.prdc.recall,0.9981735159817352,0.9990867579908675,0.9988584474885844,0.00045662100456617116
stats.prdc.density,0.6293877551020408,0.6624,0.6404265306122449,0.014903151271191685
stats.prdc.coverage,0.365296803652968,0.4009132420091324,0.38059360730593605,0.015487015658177986
performance.linear_model.gt,0.9869461645920644,0.9869461645920644,0.9869461645920644,0.0
performance.linear_model.syn_id,0.9853668214799525,0.9883766888722085,0.9867903250818373,0.0013841219565895963
performance.linear_model.syn_ood,0.9853318321135923,0.9882529555263652,0.9867029982694273,0.0013568059597931224
performance.mlp.gt,0.9761701260752235,0.9761701260752235,0.9761701260752235,0.0
performance.mlp.syn_id,0.4015246903461797,0.41710412754047893,0.4101301498329187,0.006544866475736226
performance.mlp.syn_ood,0.3995121035841621,0.41140197243593757,0.4056323106273848,0.005620927385268962
performance.xgb.gt,0.9975125622901941,0.9975125622901941,0.9975125622901941,0.0
performance.xgb.syn_id,0.9933464168803819,0.9963549159733951,0.9950878464403369,0.001417239617806055
performance.xgb.syn_ood,0.9934206959821521,0.9964137528408499,0.9951111319613852,0.0013968912168024561
performance.feat_rank_distance.corr,0.33371518932778255,0.5139251339115994,0.40850410526773706,0.07838981324253726
performance.feat_rank_distance.pvalue,5.13251157921531e-140,5.527613416452514e-61,1.3819033541134608e-61,2.7638067082260353e-61
detection.detection_xgb.mean,0.8738904109589042,0.8854067654459044,0.8783850992451776,0.0049945188137840695
detection.detection_gmm.mean,0.490648401826484,0.59462100456621,0.5247676358214519,0.0478164906391041
detection.detection_linear.mean,0.8218995433789955,0.8378995433789955,0.8286799459509833,0.006756248164023125
privacy.delta-presence.score,6.266666665970371,6.97530864111416,6.443827159756317,0.35432098757189445
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,3.0,2.25,0.9574271077563381
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.1278538812785388,0.14246575342465753,0.13447488584474884,0.006299604896978656
privacy.identifiability_score._privacy.identifiability_score.OC,0.108675799086758,0.12420091324200913,0.1178082191780822,0.0067932765919091
prdc_precision,0.676,0.698,0.6843250000000001,0.010056962762186176
prdc_recall,0.9105,0.9607,0.9353750000000001,0.023730904604193526
nn_identifiability,0.8744,0.8864,0.881725,0.0051337932694386365
coverage_score,1.0,1.0,1.0,0.0
mmd,0.1226,0.1422,0.130875,0.008222479350333852
