,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.2986561522345515,0.38251854105186206,0.33950789795328734,0.04372517563135453
sanity.close_values_probability.score,0.09898242368177614,0.2062904717853839,0.15032377428307123,0.05790126428904189
sanity.distant_values_probability.score,0.0027752081406105457,0.012950971322849213,0.006244218316373728,0.004617631554693782
stats.jensenshannon_dist.marginal,0.01627826796762724,0.01838680690360126,0.017176810628539676,0.0010021036877463259
stats.inv_kl_divergence.marginal,0.897190368399469,0.9196517513811582,0.9098415866498937,0.010909644232954058
stats.ks_test.marginal,0.8708880666049953,0.886029227743183,0.8779124860859456,0.006240437129847719
stats.max_mean_discrepancy.joint,0.017174418433958935,0.018994074667728317,0.01797738743508914,0.0007561873903475389
stats.wasserstein_dist.joint,0.06147637218236923,0.06302066892385483,0.062167552299797535,0.0007129399595679323
stats.alpha_precision.delta_precision_alpha_OC,0.8209333333333333,0.8688597701149425,0.8474233263646807,0.019783290380360315
stats.alpha_precision.delta_coverage_beta_OC,0.37226666666666675,0.4415999999999999,0.40707193610782477,0.029719409529454593
stats.alpha_precision.authenticity_OC,0.5441767068273092,0.5991983967935872,0.5753437759052241,0.023559605839214758
stats.alpha_precision.delta_precision_alpha_naive,0.7714094856379425,0.7989333333333333,0.7860330943010518,0.012354965138607798
stats.alpha_precision.delta_coverage_beta_naive,0.21933333333333338,0.2642618570474281,0.24046693681875125,0.01874276084817711
stats.alpha_precision.authenticity_naive,0.6292585170340681,0.76,0.7035053923107258,0.05714463379795619
stats.prdc.precision,0.762,0.8333333333333334,0.808247160988644,0.03239271862203026
stats.prdc.recall,0.996299722479186,1.0,0.9988436632747456,0.0017511280745606617
stats.prdc.density,0.4988000000000001,0.5650602409638554,0.5405456213632084,0.03043163966844756
stats.prdc.coverage,0.5161887141535615,0.5698427382053654,0.5425531914893618,0.02432891433558354
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.7948336958962476,0.8146867564181344,0.8039976805822004,0.009948488247647727
performance.linear_model.syn_ood,0.7967438420818028,0.816092235551787,0.8054761551909335,0.009968839603047223
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.7555401561998387,0.7858538585986645,0.7698362446340662,0.01325805204528839
performance.mlp.syn_ood,0.7446356275303644,0.793168016194332,0.7708502024291499,0.0232110789611509
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760143,0.0
performance.xgb.syn_id,0.8383585986442899,0.885824588001717,0.8696137041972156,0.021478765081715624
performance.xgb.syn_ood,0.8386533350537577,0.8856449936489531,0.8701204871328458,0.021468239258473118
performance.feat_rank_distance.corr,0.3158523578723662,0.37909110339612284,0.3359629063256706,0.0290525498260821
performance.feat_rank_distance.pvalue,9.63965325317629e-17,4.420593639438265e-12,1.6889215630687706e-12,1.9105412262951382e-12
detection.detection_xgb.mean,0.8051089698831635,0.8339620242362178,0.8155952710670453,0.0135736653627428
detection.detection_gmm.mean,0.46288949337202023,0.4924167946748592,0.47358800159169784,0.012939028955875433
detection.detection_linear.mean,0.5686941729119149,0.6021698910077046,0.5906588709892922,0.01500920723998196
privacy.delta-presence.score,3.347826085500945,4.277777775401234,3.7189650671870416,0.43203637060695493
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,9.00000001,18.00000001,13.25000001,3.685557397915997
privacy.k-map.score,16.0,19.0,17.75,1.2583057392117916
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,9.00000001,18.00000001,13.25000001,3.685557397915997
privacy.identifiability_score.,0.14153561517113783,0.1822386679000925,0.16188714153561518,0.01795365603208095
privacy.identifiability_score._privacy.identifiability_score.OC,0.22016651248843663,0.272895467160037,0.24421831637372804,0.02396864106421063
prdc_precision,0.612,0.7194,0.6735249999999999,0.04497980102223666
prdc_recall,0.9648,0.9944,0.980775,0.01244625110893502
nn_identifiability,0.8093,0.8418,0.8261999999999999,0.016016866110447447
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0083,0.0099,0.0091,0.0008679477710861027
