,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.012036438430145503,0.08551898159542935,0.0389410100304882,0.03222817126923781
sanity.close_values_probability.score,0.9333333333333333,0.996969696969697,0.9772727272727273,0.029742286594617067
sanity.distant_values_probability.score,0.0030303030303030303,0.00909090909090909,0.004545454545454545,0.00303030303030303
stats.jensenshannon_dist.marginal,0.011151646924426894,0.013317810484097695,0.012187985552740026,0.0009436101974085953
stats.inv_kl_divergence.marginal,0.8631662420946462,0.8822380875768561,0.8730469508643757,0.007801225193618457
stats.ks_test.marginal,0.8130454545454545,0.8243181818181818,0.8188011363636363,0.0062675782037114516
stats.max_mean_discrepancy.joint,0.005030303030303031,0.005038449918613578,0.005033075511263011,3.842162784069848e-06
stats.wasserstein_dist.joint,0.04506595432758331,0.055568136274814606,0.05033011548221111,0.004518968194624664
stats.alpha_precision.delta_precision_alpha_OC,0.8261372344130965,0.9192615813305469,0.8836119818878441,0.043629290272664364
stats.alpha_precision.delta_coverage_beta_OC,0.3604040404040405,0.43898989898989904,0.394040404040404,0.033743421704318585
stats.alpha_precision.authenticity_OC,0.5272727272727272,0.6212121212121212,0.5878787878787879,0.0429263219411632
stats.alpha_precision.delta_precision_alpha_naive,0.8628213166144201,0.8781748519679554,0.8716736328805295,0.00646436464462564
stats.alpha_precision.delta_coverage_beta_naive,0.3808080808080808,0.4682828282828282,0.43005050505050507,0.044377781349097235
stats.alpha_precision.authenticity_naive,0.5848484848484848,0.6424242424242425,0.6151515151515152,0.02999846950488384
stats.prdc.precision,0.992,1.0,0.9975,0.0037859388972001857
stats.prdc.recall,0.9515151515151515,0.9696969696969697,0.9606060606060606,0.007824208780217012
stats.prdc.density,0.9704000000000002,0.9888,0.9788,0.0095833188405687
stats.prdc.coverage,0.9454545454545454,0.9848484848484849,0.968939393939394,0.016666666666666687
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,0.45679241205152776,0.513752120769109,0.4963797183190598,0.02703757277545611
performance.linear_model.syn_ood,0.4335549004856924,0.4987545707596378,0.47840580273841105,0.030671636288469636
performance.mlp.gt,-2.2988603336741944,-2.2988603336741944,-2.2988603336741944,0.0
performance.mlp.syn_id,-2.3025986739632636,-2.2932807601961027,-2.2980277588779416,0.0038284202691500073
performance.mlp.syn_ood,-3.241425883278154,-3.2282516817128233,-3.2349195208473946,0.005410685084747769
performance.xgb.gt,0.4757466193148698,0.4757466193148698,0.4757466193148698,0.0
performance.xgb.syn_id,0.3406329634681981,0.5579227147815451,0.4240125345674845,0.09520431494022341
performance.xgb.syn_ood,0.2863277956103916,0.5331054819686006,0.3862284739435112,0.10919132454242723
performance.feat_rank_distance.corr,0.7807200583588265,0.8783100656536799,0.8343350474165465,0.05138439124438587
performance.feat_rank_distance.pvalue,0.006249477882326372,0.015074907310598048,0.010388896857269974,0.004800579211198635
detection.detection_xgb.mean,0.7673030303030303,0.8035454545454546,0.7873636363636364,0.01601875622400778
detection.detection_gmm.mean,0.49683333333333335,0.5698787878787879,0.5421780303030304,0.031861299248573685
detection.detection_linear.mean,0.6715454545454546,0.7033939393939395,0.6880227272727273,0.013202697385119332
privacy.delta-presence.score,1.1944444441126543,1.4827586201783591,1.3859674325005311,0.12979040299137623
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.50000001,0.5773502691896257
privacy.k-map.score,2.0,6.0,3.5,1.7320508075688772
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.50000001,0.5773502691896257
privacy.identifiability_score.,0.4636363636363636,0.5212121212121212,0.49318181818181817,0.029210088365497492
privacy.identifiability_score._privacy.identifiability_score.OC,0.4727272727272727,0.5,0.48484848484848486,0.0128564869306645
prdc_precision,0.78,0.816,0.797,0.015534906930308026
prdc_recall,0.7939,0.8606,0.8348250000000002,0.030258814142879637
nn_identifiability,0.6668,0.6941,0.676525,0.012604066804012137
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0422,0.0627,0.051125000000000004,0.008511315996953706
