,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.12735511896080917,0.2437648599427791,0.18952018366450046,0.050481861825290124
sanity.close_values_probability.score,0.5833333333333334,0.8333333333333334,0.7222222222222223,0.10877166781917341
sanity.distant_values_probability.score,0.027777777777777776,0.05555555555555555,0.034722222222222224,0.013888888888888888
stats.jensenshannon_dist.marginal,0.019267063649893272,0.021282752434438588,0.020126109435877892,0.0008602942449908965
stats.inv_kl_divergence.marginal,0.6734460172841761,0.7638943621831807,0.7189892493302925,0.0460612355069675
stats.ks_test.marginal,0.8093561368209254,0.8267573696145124,0.8199941713774712,0.008314770334122224
stats.max_mean_discrepancy.joint,0.04186228661435364,0.042063497215685634,0.04191567175856421,9.863546669627556e-05
stats.wasserstein_dist.joint,0.2503030300140381,0.2885497212409973,0.2634604498744011,0.017192900672278136
stats.alpha_precision.delta_precision_alpha_OC,0.5074074074074075,0.857088122605364,0.6954022988505748,0.15614909333248042
stats.alpha_precision.delta_coverage_beta_OC,0.4555555555555555,0.6586845466155811,0.540309706257982,0.08619203275987103
stats.alpha_precision.authenticity_OC,0.4722222222222222,0.6388888888888888,0.5555555555555556,0.06804138174397716
stats.alpha_precision.delta_precision_alpha_naive,0.8092592592592593,0.8830779054916986,0.8570561941251597,0.03323775747702402
stats.alpha_precision.delta_coverage_beta_naive,0.5342273307790548,0.6518518518518519,0.5858397190293743,0.04894261106875055
stats.alpha_precision.authenticity_naive,0.3333333333333333,0.5277777777777778,0.4513888888888889,0.08599155380095701
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9166666666666666,1.0,0.9722222222222222,0.039283710065919325
stats.prdc.density,0.9183098591549297,1.0,0.9661971830985916,0.039503631864718496
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.9620535714285714,0.9620535714285714,0.9620535714285714,0.0
performance.linear_model.syn_id,0.9769712016792449,0.9984369312528816,0.9897422286393749,0.010149463904427307
performance.linear_model.syn_ood,0.9670918367346939,0.9979591836734695,0.9876913265306123,0.014551069007465788
performance.mlp.gt,0.43550000000000005,0.43550000000000005,0.43550000000000005,0.0
performance.mlp.syn_id,0.40988888888888886,0.4605,0.44347222222222216,0.022829142627055012
performance.mlp.syn_ood,0.55078125,0.65234375,0.6064453125,0.042116911431343405
performance.xgb.gt,0.9923150510204082,0.9923150510204082,0.9923150510204082,0.0
performance.xgb.syn_id,0.9700617583537576,0.992889447693465,0.9847719854886068,0.010624176015718894
performance.xgb.syn_ood,0.9728635204081633,0.9907525510204082,0.9833705357142856,0.008506264133327583
performance.feat_rank_distance.corr,0.380766697062615,0.5460090421649391,0.4775777128970378,0.06976367041171054
performance.feat_rank_distance.pvalue,0.0002565310619331764,0.01067401811831371,0.0032400803017292533,0.004972049635047097
detection.detection_xgb.mean,0.5535884353741497,0.6465986394557823,0.5953018707482993,0.04141459774380688
detection.detection_gmm.mean,0.39234693877551025,0.6960034013605443,0.5662436224489796,0.12656647429161194
detection.detection_linear.mean,0.33578231292517013,0.40204081632653066,0.3737670068027211,0.02814268222342163
privacy.delta-presence.score,0.695652173610586,0.7999999996,0.7375494067737208,0.044221695232849544
privacy.k-anonymization.gt,16.0,16.0,16.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.75000001,0.9574271077563381
privacy.k-map.score,20.0,23.0,21.75,1.2583057392117916
privacy.distinct l-diversity.gt,16.0,16.0,16.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.75000001,0.9574271077563381
privacy.identifiability_score.,0.6944444444444444,0.7777777777777778,0.7291666666666667,0.041666666666666685
privacy.identifiability_score._privacy.identifiability_score.OC,0.5555555555555556,0.6944444444444444,0.625,0.06612433730132265
prdc_precision,0.8169,0.9155,0.8692,0.042241369927280226
prdc_recall,0.6667,0.7222,0.6875,0.026564261706285005
nn_identifiability,0.5,0.5925,0.5626249999999999,0.042812021286861325
coverage_score,0.9692,0.9846,0.978825,0.007372188729723842
mmd,0.0,0.0,0.0,0.0
