,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.0772367812046359,0.11226287150468034,0.09921867401554646,0.015238568892233418
sanity.close_values_probability.score,0.8749237339841367,0.9566809029896278,0.9066503965832824,0.03536287745769143
sanity.distant_values_probability.score,0.0006101281269066504,0.0024405125076266015,0.0013727882855399632,0.0007677277237411785
stats.jensenshannon_dist.marginal,0.013967967695688113,0.01542293405765538,0.014626929469585727,0.0006172999336937733
stats.inv_kl_divergence.marginal,0.89474026677506,0.9047319823923771,0.9006214930193808,0.0043813777524367116
stats.ks_test.marginal,0.7669457279415451,0.7901554766947709,0.7794880246771717,0.009577519766780044
stats.max_mean_discrepancy.joint,0.002610124939331966,0.002674128702499941,0.002631198580724906,2.9446014698068323e-05
stats.wasserstein_dist.joint,0.46330511569976807,0.4771771728992462,0.46936841309070587,0.006551757109371889
stats.alpha_precision.delta_precision_alpha_OC,0.34879959213941414,0.6718666666666666,0.49517510822534944,0.13446540402881677
stats.alpha_precision.delta_coverage_beta_OC,0.1506998516870598,0.3872,0.24613621876678834,0.10354298387885949
stats.alpha_precision.authenticity_OC,0.05443548387096774,0.7114228456913828,0.48096458239058765,0.2918389791302058
stats.alpha_precision.delta_precision_alpha_naive,0.514495657982632,0.541263440860215,0.5218064413773784,0.012988554773970486
stats.alpha_precision.delta_coverage_beta_naive,0.19453333333333334,0.21042084168336672,0.20485279106600296,0.007042828803628626
stats.alpha_precision.authenticity_naive,0.688,0.798,0.7458888987652725,0.0459669869704758
stats.prdc.precision,0.9539078156312625,0.967741935483871,0.9579124377787834,0.0066237102218547035
stats.prdc.recall,0.9810860280658938,0.9896278218425869,0.9859670530811471,0.0036945092789475013
stats.prdc.density,0.9523999999999999,1.0096774193548388,0.9783063287866055,0.023632626431808034
stats.prdc.coverage,0.43380109823062846,0.45515558267236117,0.4446308724832215,0.009391151640963052
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744574,0.0
performance.linear_model.syn_id,0.48780238862874636,0.5729956551788025,0.5393049026643033,0.03627381472781349
performance.linear_model.syn_ood,0.48102467215084577,0.5676070674924032,0.533467301532985,0.036901726505752776
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-16711.930804078198,-5847.212730113437,-10888.814037363702,4459.10341327235
performance.mlp.syn_ood,-16356.09737433479,-5766.949247915924,-10177.262597971901,4443.597130221574
performance.xgb.gt,0.955559134422183,0.955559134422183,0.955559134422183,0.0
performance.xgb.syn_id,0.9163513223143255,0.9537933227897302,0.9346187869790408,0.019055824659905685
performance.xgb.syn_ood,0.9139684229237455,0.953485555645544,0.9328808399593809,0.02062528937999467
performance.feat_rank_distance.corr,0.3636363636363636,0.7878787878787877,0.5681818181818181,0.20608288649599152
performance.feat_rank_distance.pvalue,0.00010742344075677409,0.11595087782587783,0.044975482336593445,0.05569835670733707
detection.detection_xgb.mean,0.9272322554251398,0.9384294957857835,0.9321310872486331,0.004642128294059833
detection.detection_gmm.mean,0.37873430998279956,0.47975873978089234,0.4405160889494633,0.0476704500385896
detection.detection_linear.mean,0.7831108805666872,0.8013624689499605,0.7934560853839355,0.0077139835833853546
privacy.delta-presence.score,16.249999993229167,20.52631577867036,17.89943608192843,2.065054450986788
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,4.00000001,4.00000001,4.00000001,0.0
privacy.k-map.score,3.0,11.0,7.0,3.366501646120693
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,4.00000001,4.00000001,4.00000001,0.0
privacy.identifiability_score.,0.1415497254423429,0.150091519219036,0.1455155582672361,0.0038102489312985886
privacy.identifiability_score._privacy.identifiability_score.OC,0.05430140329469189,0.1342281879194631,0.11089078706528371,0.037976493931334836
prdc_precision,0.7615,0.782,0.773925,0.008874448339662243
prdc_recall,0.5686,0.6821,0.608275,0.05115123817334893
nn_identifiability,0.6974,0.7203,0.709275,0.010491385354978965
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0794,0.0858,0.0835,0.002830783166074954
