,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.016129356688712296,0.01794479423058255,0.01738930649574875,0.0008547697667177945
sanity.close_values_probability.score,0.9923613417469279,0.9935237462636998,0.9927764862172036,0.0005162946448073063
sanity.distant_values_probability.score,0.001328462304882099,0.003985386914646297,0.002241780139488542,0.0012537088069197524
stats.jensenshannon_dist.marginal,0.018896176671888955,0.01946530410961401,0.019238475858623864,0.00024220513389206102
stats.inv_kl_divergence.marginal,0.772658436847489,0.7833805053943421,0.7783995290408307,0.0044045576949609515
stats.ks_test.marginal,0.7778547685429533,0.7836934794641869,0.780959760592812,0.002517314470707924
stats.max_mean_discrepancy.joint,0.002176452285685203,0.0022163181760301684,0.0021958181150632866,1.637397174648893e-05
stats.wasserstein_dist.joint,2.207676410675049,2.2127022743225098,2.209882616996765,0.002111390618452454
stats.alpha_precision.delta_precision_alpha_OC,0.8135310344827587,0.8679243544560385,0.8370109345127036,0.024734362019796872
stats.alpha_precision.delta_coverage_beta_OC,0.44200000000000006,0.48884435537742155,0.4597651970607882,0.02023834936632555
stats.alpha_precision.authenticity_OC,0.516,0.5831663326653307,0.5468356713426854,0.031679381958916085
stats.alpha_precision.delta_precision_alpha_naive,0.5026052104208417,0.55,0.5272127588510355,0.024875953343430603
stats.alpha_precision.delta_coverage_beta_naive,0.17768871075484294,0.18557114228456917,0.18223947895791587,0.003317713913871399
stats.alpha_precision.authenticity_naive,0.6953907815631263,0.8316633266533067,0.7846713426853709,0.061281101667037215
stats.prdc.precision,0.9799599198396793,0.9919839679358717,0.9834769539078156,0.005747964063370476
stats.prdc.recall,0.9571570906675523,0.975921620724012,0.9635088010627698,0.008431828450508957
stats.prdc.density,0.9868000000000001,1.0312625250501002,1.0018102204408819,0.020389805162096084
stats.prdc.coverage,0.2532381268681501,0.2602125539687811,0.2553968781135835,0.003237062220129174
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739095,0.0
performance.linear_model.syn_id,0.6094937338709896,0.6799761850862807,0.6504743757867437,0.029986632904553508
performance.linear_model.syn_ood,0.6094378997576335,0.6801055928865928,0.6504723820197222,0.030025453542065435
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.49823424685520823,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.8060012917030152,0.8357134310868108,0.8242579970235097,0.013552008685288943
performance.xgb.syn_ood,0.8059501859959562,0.836081367805605,0.8245721204828593,0.013734157744659057
performance.feat_rank_distance.corr,0.09561141707128173,0.32491690871500273,0.24387780903720851,0.10495974304106337
performance.feat_rank_distance.pvalue,5.0055992612022875e-64,6.653979163612727e-07,1.6634947909031816e-07,3.3269895818063633e-07
detection.detection_xgb.mean,0.9350544387924684,0.9475949214857108,0.9425112004040487,0.005405668449044589
detection.detection_gmm.mean,0.32427677063573523,0.6600710425828151,0.4944219165208418,0.13936284412542121
detection.detection_linear.mean,0.8210299899367254,0.8298393766868726,0.8242912658658099,0.003834251221297118
privacy.delta-presence.score,62.42857133938776,109.249999726875,79.33630937253793,20.536778990413644
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,6.0,2.75,2.217355782608345
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.05230820325473265,0.05978080371969445,0.05629359016937894,0.003323922239787982
privacy.identifiability_score._privacy.identifiability_score.OC,0.0644304217867818,0.06609099966788443,0.06521919628030555,0.0006829936166972831
prdc_precision,0.588,0.6673,0.62545,0.033132109299992774
prdc_recall,0.6269,0.7205,0.6814749999999999,0.04633331235011516
nn_identifiability,0.8082,0.8429,0.82565,0.01456628527342047
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0102,0.0145,0.012325,0.0017727097901235834
