,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.06666666664444444,0.09999999996666667,0.08333333330555556,0.019245008966572524
sanity.nearest_syn_neighbor_distance.mean,0.4327368978841507,0.49434849532073305,0.46196179176127045,0.02624527008033082
sanity.close_values_probability.score,0.06666666666666667,0.23333333333333334,0.125,0.07391185942027817
sanity.distant_values_probability.score,0.06666666666666667,0.16666666666666666,0.10833333333333334,0.04194352464039304
stats.jensenshannon_dist.marginal,0.029152530030939993,0.032616247029493006,0.03097354222498715,0.0014234945038059455
stats.inv_kl_divergence.marginal,0.5511173272769743,0.6199933713020442,0.5976021751968592,0.03155871232480522
stats.ks_test.marginal,0.7066666666666667,0.76,0.7308333333333333,0.02394051269601696
stats.max_mean_discrepancy.joint,0.0707209515844699,0.0882812255057649,0.08253573694005854,0.008061348751525128
stats.wasserstein_dist.joint,0.10201656818389893,0.13421493768692017,0.12240181490778923,0.01405655934706618
stats.alpha_precision.delta_precision_alpha_OC,0.5844444444444444,0.9186206896551724,0.8053256704980842,0.14993645416517445
stats.alpha_precision.delta_coverage_beta_OC,0.4266666666666665,0.6743295019157088,0.5128544061302681,0.11471950052492384
stats.alpha_precision.authenticity_OC,0.4666666666666667,0.5666666666666667,0.5,0.04714045207910316
stats.alpha_precision.delta_precision_alpha_naive,0.8826819923371647,0.9450574712643678,0.9127586206896552,0.02549729026477885
stats.alpha_precision.delta_coverage_beta_naive,0.5268199233716475,0.6198467432950192,0.577816091954023,0.03982819589951904
stats.alpha_precision.authenticity_naive,0.3,0.6,0.5083333333333333,0.14240006242195885
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9666666666666667,1.0,0.9833333333333334,0.01924500897298752
stats.prdc.density,0.9033333333333333,1.0433333333333334,0.9725,0.0575663867972352
stats.prdc.coverage,0.9666666666666667,1.0,0.9916666666666667,0.016666666666666663
performance.linear_model.gt,0.975,0.975,0.975,0.0
performance.linear_model.syn_id,0.9881944444444445,0.9947916666666666,0.9914062499999999,0.003522494859614138
performance.linear_model.syn_ood,0.9833333333333332,0.9916666666666668,0.9874999999999999,0.003586095690932924
performance.mlp.gt,0.75275,0.75275,0.75275,0.0
performance.mlp.syn_id,0.58725,0.7785,0.6796875,0.08011121826352824
performance.mlp.syn_ood,0.6805555555555556,0.8472222222222223,0.7881944444444444,0.07382045703287951
performance.xgb.gt,0.9583333333333333,0.9583333333333333,0.9583333333333333,0.0
performance.xgb.syn_id,0.974826388888889,0.9977430555555555,0.9901475694444444,0.010539757877191688
performance.xgb.syn_ood,0.9722222222222221,0.9972222222222221,0.9881944444444444,0.010965480816969516
performance.feat_rank_distance.corr,-0.013938043716812369,0.34490141367377475,0.14332931903317592,0.15079347870697055
performance.feat_rank_distance.pvalue,0.05471401841957445,0.9385298786226989,0.5019294255982694,0.3717384819673614
detection.detection_xgb.mean,0.5222222222222221,0.6555555555555556,0.5736111111111111,0.05750067095690129
detection.detection_gmm.mean,0.4013888888888889,0.6180555555555556,0.5072916666666667,0.09818553838809294
detection.detection_linear.mean,0.6583333333333333,0.6944444444444444,0.6722222222222223,0.015876322406927983
privacy.delta-presence.score,1.0999999989,1.37499999828125,1.2680555540816743,0.13318857852878793
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0
privacy.k-anonymization.syn,6.00000001,8.00000001,7.000000010000001,1.1547005383792521
privacy.k-map.score,8.0,10.0,8.75,0.9574271077563381
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0
privacy.distinct l-diversity.syn,6.00000001,8.00000001,7.000000010000001,1.1547005383792521
privacy.identifiability_score.,0.5,0.6,0.55,0.043033148291193514
privacy.identifiability_score._privacy.identifiability_score.OC,0.7,0.8666666666666667,0.7833333333333333,0.07934920476158727
prdc_precision,0.8833,0.9833,0.9374750000000001,0.04167000319974389
prdc_recall,0.9333,1.0,0.975,0.03192585159396691
nn_identifiability,0.5139,0.5772,0.549025,0.027470757179226056
coverage_score,0.8944,1.0,0.9486,0.04314131816870382
mmd,0.058,0.0895,0.077975,0.014600542227374067
