,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.2394358124300002,0.2567869085761005,0.24896649146892924,0.0073513737077315015
sanity.close_values_probability.score,0.2852260778128286,0.35515247108307046,0.3142087276550999,0.02944142050106534
sanity.distant_values_probability.score,0.0007886435331230284,0.0010515247108307045,0.0008543638275499474,0.00013144058885383806
stats.jensenshannon_dist.marginal,0.05044813478807145,0.05135776096996237,0.05094605232868853,0.00039009635622012944
stats.inv_kl_divergence.marginal,0.5231242781972153,0.5508673209042498,0.534703670938669,0.011857736813912043
stats.ks_test.marginal,0.4985075663724178,0.5070090681912033,0.5014752395907133,0.0038714235346396795
stats.max_mean_discrepancy.joint,0.002454461695390218,0.0025054000380117947,0.002480170152416314,2.083845167672736e-05
stats.wasserstein_dist.joint,0.742717444896698,0.7583227753639221,0.7540283203125,0.007549784215608604
stats.alpha_precision.delta_precision_alpha_OC,0.18542510121457478,0.20121457489878547,0.19325284071467477,0.009039357128254667
stats.alpha_precision.delta_coverage_beta_OC,0.039621365787694596,0.059109311740890624,0.04718604320130962,0.008564312347806354
stats.alpha_precision.authenticity_OC,0.8299595141700404,0.9350912778904665,0.8881250461932644,0.04807049327383314
stats.alpha_precision.delta_precision_alpha_naive,0.2413793103448275,0.2465587044534413,0.24401554283586951,0.002360016584212869
stats.alpha_precision.delta_coverage_beta_naive,0.14183535762483124,0.16572199730094472,0.1538534763339931,0.010959876863304867
stats.alpha_precision.authenticity_naive,0.6275303643724697,0.9756592292089249,0.8441172364520289,0.15782047868052299
stats.prdc.precision,0.922920892494929,0.9473684210526315,0.9326533000468091,0.01067876650123087
stats.prdc.recall,0.9603049421661409,0.9879074658254469,0.9744348054679285,0.011850810615705688
stats.prdc.density,0.762753036437247,0.7688259109311741,0.7648604758111537,0.0027180855154734372
stats.prdc.coverage,0.11908517350157728,0.12513144058885384,0.12237118822292323,0.0026679525670589444
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.5389286327353134,0.808024957734806,0.7346645040473578,0.1306665003172169
performance.linear_model.syn_ood,0.5388628607465173,0.8079952611254552,0.7346943230668993,0.13072801985732185
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.6857747928781943,0.7435193967288027,0.711758930974768,0.024000388099012934
performance.xgb.syn_ood,0.6857498580213262,0.7436153812331098,0.7117391215279028,0.024064946568083907
performance.feat_rank_distance.corr,-0.07834993112622848,0.14387710508805077,0.07001752619766334,0.10104082757116296
performance.feat_rank_distance.pvalue,2.8606898798166743e-09,0.0012193600521123202,0.0003340260938191327,0.000592745165588175
detection.detection_xgb.mean,0.9605072684783789,0.9636772254857384,0.9621969790531759,0.0013706035700432149
detection.detection_gmm.mean,0.0832744841151864,0.5750641447239216,0.2571694199290457,0.2290692250230932
detection.detection_linear.mean,0.9403582264305689,0.9459448944191516,0.944213303487285,0.0025894640761704208
privacy.delta-presence.score,343.49999828250003,686.9999931300001,429.374996994375,171.74999742375005
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,3.00000001,9.00000001,7.000000010000001,2.7080128015453204
privacy.k-map.score,1.0,2.0,1.75,0.5
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,3.00000001,9.00000001,7.000000010000001,2.7080128015453204
privacy.identifiability_score.,0.04442691903259727,0.04758149316508938,0.0459384858044164,0.0012945396690057977
privacy.identifiability_score._privacy.identifiability_score.OC,0.02786540483701367,0.033648790746582544,0.03134858044164038,0.0027266662955663526
prdc_precision,0.7874,0.8117,0.7979499999999999,0.010434078780611146
prdc_recall,0.0358,0.7153,0.481225,0.3127242915093102
nn_identifiability,0.928,0.9342,0.9304000000000001,0.002717842281418593
coverage_score,0.96,0.99,0.9675,0.015000000000000015
mmd,0.252,0.2644,0.2591,0.005310994884827772
