,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.00091324200912408,0.00045662100456204,0.0005272605198030622
sanity.nearest_syn_neighbor_distance.mean,0.0132589138624942,0.014324541753979169,0.013987354248662414,0.000496129541939725
sanity.close_values_probability.score,0.989041095890411,0.9908675799086758,0.9897260273972602,0.0008743626554852141
sanity.distant_values_probability.score,0.0018264840182648401,0.0018264840182648401,0.0018264840182648401,0.0
stats.jensenshannon_dist.marginal,0.01695554263409411,0.01830279048411234,0.017549885065925114,0.0005599597893015873
stats.inv_kl_divergence.marginal,0.8687668103555289,0.8763344796480594,0.8740010058771206,0.003514699719481725
stats.ks_test.marginal,0.6820494573919231,0.6959410543794106,0.6887117781109953,0.006189865278256697
stats.max_mean_discrepancy.joint,0.0029609761073262756,0.002994341411277749,0.0029806327348906895,1.4832200708397276e-05
stats.wasserstein_dist.joint,0.2654784023761749,0.2686954736709595,0.26691117882728577,0.0014347743295412291
stats.alpha_precision.delta_precision_alpha_OC,0.20933333333333337,0.34503401360544217,0.2559979591836735,0.06078626226816666
stats.alpha_precision.delta_coverage_beta_OC,0.13156462585034012,0.19333333333333347,0.1658721088435374,0.02613839120486209
stats.alpha_precision.authenticity_OC,0.636,0.774,0.7101530612244898,0.056804570828165715
stats.alpha_precision.delta_precision_alpha_naive,0.2996,0.3393197278911565,0.31525646258503404,0.017564712109264097
stats.alpha_precision.delta_coverage_beta_naive,0.15760000000000007,0.17613333333333336,0.16523605442176875,0.00790092643298178
stats.alpha_precision.authenticity_naive,0.753061224489796,0.863265306122449,0.7890816326530612,0.051771628726789864
stats.prdc.precision,0.8836734693877552,0.908,0.8964081632653061,0.009985245258153278
stats.prdc.recall,0.9908675799086758,0.9963470319634703,0.9929223744292237,0.0024017859723073675
stats.prdc.density,0.6336,0.7024,0.6700204081632654,0.029849682925190617
stats.prdc.coverage,0.3150684931506849,0.3452054794520548,0.328310502283105,0.012925950530022629
performance.linear_model.gt,0.9869461645920644,0.9869461645920644,0.9869461645920644,0.0
performance.linear_model.syn_id,0.9821349638247743,0.9893149837889117,0.9870868957981485,0.0033267906597453495
performance.linear_model.syn_ood,0.9820739767727945,0.9892292696148954,0.9870449427659974,0.003335504663916531
performance.mlp.gt,0.9761701260752235,0.9761701260752235,0.9761701260752235,0.0
performance.mlp.syn_id,0.9704903594883202,0.9732573804340949,0.9720719771528188,0.0012630729497580251
performance.mlp.syn_ood,0.9652686557828234,0.9673276203582077,0.966429755426284,0.000952464082418486
performance.xgb.gt,0.9975125622901941,0.9975125622901941,0.9975125622901941,0.0
performance.xgb.syn_id,0.9922897966577011,0.994981339004608,0.9937850626681053,0.0012592705788476604
performance.xgb.syn_ood,0.9922760159296095,0.9949469360522091,0.9937738475010947,0.001254030137915713
performance.feat_rank_distance.corr,0.46260884986037487,0.5837082353151188,0.5184862319019061,0.04981572629528609
performance.feat_rank_distance.pvalue,1.666729527941427e-181,2.5383745859825457e-114,6.345936464956364e-115,1.2691872929912727e-114
detection.detection_xgb.mean,0.9118721461187214,0.919993476842792,0.9158466592116298,0.003339403261830136
detection.detection_gmm.mean,0.4850060572174075,0.5399223744292236,0.5086649892833845,0.023388245890502767
detection.detection_linear.mean,0.8453059360730594,0.8630742708042121,0.853816932252353,0.007906651799333008
privacy.delta-presence.score,5.883720928864251,6.22499999844375,6.027615771173481,0.15443584988990208
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.12694063926940638,0.13972602739726028,0.13424657534246576,0.006103481782576394
privacy.identifiability_score._privacy.identifiability_score.OC,0.1278538812785388,0.14977168949771688,0.13561643835616438,0.00970789571939237
prdc_precision,0.7816,0.8224,0.8055,0.01731396353621361
prdc_recall,0.7342,0.8493,0.792675,0.056910477945629694
nn_identifiability,0.7916,0.7997,0.7958000000000001,0.004400757510550502
coverage_score,1.0,1.0,1.0,0.0
mmd,0.1448,0.1539,0.149525,0.005004914251679705
