,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.45877219884537673,0.49259820620764716,0.4730673861035697,0.014226751383925701
sanity.close_values_probability.score,0.0730804810360777,0.08048103607770583,0.07585568917668825,0.0032923460536636836
sanity.distant_values_probability.score,0.041628122109158186,0.07585568917668825,0.05550416281221092,0.014587574680869407
stats.jensenshannon_dist.marginal,0.01831592660375761,0.018619292788412678,0.01850196092238201,0.00013318861398461802
stats.inv_kl_divergence.marginal,0.8716630316940884,0.8765439846399888,0.8744793152158987,0.0024057717312388534
stats.ks_test.marginal,0.8471647923795086,0.8512245095088958,0.8490519604590037,0.002050391599068992
stats.max_mean_discrepancy.joint,0.038104474414532456,0.04006681270042196,0.039324113671678575,0.0009241699414208912
stats.wasserstein_dist.joint,0.07373637706041336,0.07515869289636612,0.07448423840105534,0.0007767233695241528
stats.alpha_precision.delta_precision_alpha_OC,0.7363310344827586,0.8791164658634538,0.8165335370181808,0.059175095850384545
stats.alpha_precision.delta_coverage_beta_OC,0.36373333333333335,0.4336673346693387,0.400019511043506,0.031101670195693914
stats.alpha_precision.authenticity_OC,0.5771543086172345,0.6325301204819277,0.5965174928169592,0.02546034323950357
stats.alpha_precision.delta_precision_alpha_naive,0.666,0.6803212851405622,0.6728526651696968,0.007784524137464288
stats.alpha_precision.delta_coverage_beta_naive,0.1204819277108432,0.13814295257181042,0.1308916953049338,0.007831209557094274
stats.alpha_precision.authenticity_naive,0.8393574297188755,0.8877755511022044,0.8736687873739446,0.022997509534386982
stats.prdc.precision,0.8815261044176707,0.892,0.8847059420044908,0.004944545240051807
stats.prdc.recall,0.9074930619796485,0.9426456984273821,0.9262257169287698,0.019053959226684538
stats.prdc.density,0.6052208835341366,0.6276,0.6142250919509703,0.009929188850715653
stats.prdc.coverage,0.28307123034227566,0.30619796484736356,0.2927844588344126,0.011215870169271176
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.759642889449285,0.7897608147534652,0.7752512237792808,0.01332464501641126
performance.linear_model.syn_ood,0.7595982774251281,0.7906872599505322,0.7758769461602141,0.013834659857202036
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.7274973266119054,0.7648113056984802,0.7471423471111164,0.015359353362301808
performance.mlp.syn_ood,0.7488866396761134,0.7749493927125507,0.762171052631579,0.01442183388350434
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760143,0.0
performance.xgb.syn_id,0.8124808383793474,0.8473037242784883,0.8265461999276918,0.015238696470714675
performance.xgb.syn_ood,0.8108540880466257,0.8459498187689359,0.8258517543196336,0.015200492107599313
performance.feat_rank_distance.corr,0.20083217794268649,0.42454500852437765,0.30498598236916374,0.11125828261164378
performance.feat_rank_distance.pvalue,1.336989094408806e-20,1.0750545582392671e-05,3.0340645382215218e-06,5.185628832266801e-06
detection.detection_xgb.mean,0.9160673137760952,0.9232543626226419,0.9185829467766071,0.00329382560956609
detection.detection_gmm.mean,0.44693546835482323,0.539305820838527,0.4853282388119978,0.04143417426767148
detection.detection_linear.mean,0.6416631233826575,0.6590982857246297,0.649398086299072,0.007239050141607786
privacy.delta-presence.score,6.2666666624888885,7.714285703265306,6.870238087219799,0.6070774915385988
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,7.00000001,17.00000001,13.50000001,4.43471156521669
privacy.k-map.score,7.0,11.0,8.5,1.7320508075688772
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,7.00000001,17.00000001,13.50000001,4.43471156521669
privacy.identifiability_score.,0.1091581868640148,0.13043478260869565,0.11586493987049029,0.009916668967552267
privacy.identifiability_score._privacy.identifiability_score.OC,0.19888991674375578,0.22201665124884365,0.20952821461609622,0.009509185288380675
prdc_precision,0.7756,0.8112,0.7985,0.015803375166927727
prdc_recall,0.6253,0.6698,0.64245,0.019810519091297583
nn_identifiability,0.8177,0.8322,0.8249250000000001,0.006288812818542699
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0341,0.0355,0.034825,0.0006396613687465157
