,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.010089235989637964,0.03352721785441958,0.02020307550651964,0.010040412371611863
sanity.close_values_probability.score,0.9818181818181818,0.9939393939393939,0.9856060606060607,0.0057362710563638964
sanity.distant_values_probability.score,0.0030303030303030303,0.006060606060606061,0.003787878787878788,0.0015151515151515152
stats.jensenshannon_dist.marginal,0.00749213054464459,0.008345222140108815,0.00795526393545481,0.00036529285585704607
stats.inv_kl_divergence.marginal,0.8602980022135663,0.8927703401232424,0.8788769769168023,0.014301415299025823
stats.ks_test.marginal,0.8798863636363636,0.8948560606060605,0.889411762919779,0.006685090214259772
stats.max_mean_discrepancy.joint,0.005030303030303031,0.005040595069578193,0.005033878044163975,4.860293874022696e-06
stats.wasserstein_dist.joint,0.022346295416355133,0.0411030538380146,0.028162836097180843,0.008786588419475565
stats.alpha_precision.delta_precision_alpha_OC,0.8257122953674678,0.9372483455242075,0.8805886450714037,0.04708985536700781
stats.alpha_precision.delta_coverage_beta_OC,0.41575757575757577,0.4375757575757575,0.4296969696969697,0.010294444167756465
stats.alpha_precision.authenticity_OC,0.48484848484848486,0.5393939393939394,0.5098484848484849,0.023259755433675672
stats.alpha_precision.delta_precision_alpha_naive,0.9059630790665274,0.9513061650992686,0.932556600487635,0.019078736154138087
stats.alpha_precision.delta_coverage_beta_naive,0.4121212121212121,0.4448484848484848,0.43196969696969695,0.014948016124872504
stats.alpha_precision.authenticity_naive,0.4696969696969697,0.5787878787878787,0.5212121212121211,0.04635472285084347
stats.prdc.precision,0.996,1.0,0.997998997995992,0.0016329943915135777
stats.prdc.recall,0.9757575757575757,0.9848484848484849,0.9810606060606061,0.004545454545454575
stats.prdc.density,0.9428000000000001,0.9828,0.971590380761523,0.019229951762854046
stats.prdc.coverage,0.9818181818181818,0.9939393939393939,0.9848484848484849,0.006060606060606044
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,0.4110701351005618,0.5138861947926808,0.48093865200612407,0.04746564408773119
performance.linear_model.syn_ood,0.3828700693016275,0.499924320918546,0.4609988196779099,0.0535572397873918
performance.mlp.gt,-2.2988603336741944,-2.2988603336741944,-2.2988603336741944,0.0
performance.mlp.syn_id,-2.297383373157193,-2.2949726914975974,-2.296613779194227,0.0011258769461263102
performance.mlp.syn_ood,-3.2339487668447378,-3.2306083427077725,-3.23288352778168,0.0015614106776388587
performance.xgb.gt,0.4757466193148698,0.4757466193148698,0.4757466193148698,0.0
performance.xgb.syn_id,-4.845363370026677,0.5115726860624029,-0.8841981541751154,2.641468563492026
performance.xgb.syn_ood,-4.182119822722607,0.4911647069796955,-0.7224618128059146,2.3070849258298716
performance.feat_rank_distance.corr,0.6831300510639733,1.0,0.7957825127659932,0.14558781561888282
performance.feat_rank_distance.pvalue,0.00212511703620203,0.03344063866399787,0.020265475296657325,0.014929633126830395
detection.detection_xgb.mean,0.7549393939393939,0.7925151515151515,0.7709231711049893,0.01607212025007211
detection.detection_gmm.mean,0.48430303030303035,0.5171212121212122,0.500404193449648,0.01703817443919522
detection.detection_linear.mean,0.6050909090909091,0.6401212121212121,0.621067033976125,0.014579915247267532
privacy.delta-presence.score,1.4999999925,2.9999999700000006,1.8928571332079085,0.7382872119260157
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,2.0,1.25,0.5
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.5,0.5606060606060606,0.525,0.02889400957654099
privacy.identifiability_score._privacy.identifiability_score.OC,0.5,0.5242424242424243,0.5121212121212122,0.010201520139759697
prdc_precision,0.862,0.908,0.8874500000000001,0.019054570755245772
prdc_recall,0.7909,0.8394,0.8151750000000001,0.01980006313121248
nn_identifiability,0.5668,0.5869,0.574975,0.008789150508818616
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0155,0.0256,0.020249999999999997,0.004282133424668908
