,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.118914892347655,0.2146425581724303,0.14766775995184664,0.04489817691026747
sanity.close_values_probability.score,0.5555555555555556,0.8611111111111112,0.7569444444444445,0.13865721418399943
sanity.distant_values_probability.score,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0
stats.jensenshannon_dist.marginal,0.022615126392838747,0.02509358936921719,0.02395311612339555,0.0010312077478518045
stats.inv_kl_divergence.marginal,0.6469685206991506,0.7195803046761585,0.6773084556572307,0.034033604629377656
stats.ks_test.marginal,0.7646993069528281,0.7999999999999999,0.7759068298680974,0.016264274827388226
stats.max_mean_discrepancy.joint,0.041862284859984486,0.04308393638755827,0.04216770217041512,0.0006108228114811853
stats.wasserstein_dist.joint,0.27973660826683044,0.324126660823822,0.30090800672769547,0.020699146281415358
stats.alpha_precision.delta_precision_alpha_OC,0.6574074074074074,0.8342911877394636,0.7132024265644955,0.08205077521518618
stats.alpha_precision.delta_coverage_beta_OC,0.40555555555555556,0.527522349936143,0.4659003831417624,0.06009004441818499
stats.alpha_precision.authenticity_OC,0.4166666666666667,0.6388888888888888,0.5138888888888888,0.10269015283712421
stats.alpha_precision.delta_precision_alpha_naive,0.8734993614303959,0.8878671775223499,0.8805874840357599,0.006289829562981611
stats.alpha_precision.delta_coverage_beta_naive,0.3925925925925925,0.6284163473818645,0.4844189016602809,0.10356327272708664
stats.alpha_precision.authenticity_naive,0.4722222222222222,0.5,0.4861111111111111,0.016037507477489613
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9722222222222222,1.0,0.9861111111111112,0.016037507477489613
stats.prdc.density,0.856338028169014,0.9577464788732395,0.9251609657947686,0.046428592137871434
stats.prdc.coverage,0.9722222222222222,1.0,0.9930555555555556,0.013888888888888895
performance.linear_model.gt,0.9620535714285714,0.9620535714285714,0.9620535714285714,0.0
performance.linear_model.syn_id,0.9712442973622268,0.9958880341672935,0.9890433900968236,0.011888618716638868
performance.linear_model.syn_ood,0.9672193877551021,0.9938775510204081,0.9861926020408165,0.0126853428276005
performance.mlp.gt,0.43550000000000005,0.43550000000000005,0.43550000000000005,0.0
performance.mlp.syn_id,0.4496666666666666,0.4665,0.45970833333333333,0.007156161551289114
performance.mlp.syn_ood,0.59765625,0.65234375,0.6357421875,0.025984638077441544
performance.xgb.gt,0.9923150510204082,0.9923150510204082,0.9923150510204082,0.0
performance.xgb.syn_id,0.957537795141838,0.9983007352762746,0.9767923496687617,0.02031952009781694
performance.xgb.syn_ood,0.9512436224489795,0.9959183673469388,0.9731345663265307,0.02222629904979907
performance.feat_rank_distance.corr,-0.4628928474094536,0.1685972778877924,-0.12076858011083404,0.32172928506485976
performance.feat_rank_distance.pvalue,0.0019099930986174137,0.3542215864415479,0.1612611126639336,0.17297261011834053
detection.detection_xgb.mean,0.627142857142857,0.6762755102040817,0.6524022108843538,0.02672035677131571
detection.detection_gmm.mean,0.3410714285714286,0.45309523809523816,0.40156462585034014,0.046025439433993134
detection.detection_linear.mean,0.4849489795918368,0.5959693877551021,0.5437670068027212,0.04571479292080409
privacy.delta-presence.score,0.5333333331555555,0.7619047615419501,0.6356536015122191,0.11113471745024268
privacy.k-anonymization.gt,16.0,16.0,16.0,0.0
privacy.k-anonymization.syn,2.00000001,6.00000001,3.75000001,1.707825127659933
privacy.k-map.score,21.0,30.0,25.75,4.425306015783918
privacy.distinct l-diversity.gt,16.0,16.0,16.0,0.0
privacy.distinct l-diversity.syn,2.00000001,6.00000001,3.75000001,1.707825127659933
privacy.identifiability_score.,0.6111111111111112,0.6666666666666666,0.6388888888888888,0.02268046058132569
privacy.identifiability_score._privacy.identifiability_score.OC,0.5277777777777778,0.6666666666666666,0.6041666666666666,0.061593216183565114
prdc_precision,0.8873,0.9577,0.922225,0.029413304812618394
prdc_recall,0.6111,0.8056,0.7014,0.08296276273123986
nn_identifiability,0.489,0.5356,0.515675,0.01994114256171562
coverage_score,0.9538,0.9769,0.967275,0.011549999999999998
mmd,0.0041,0.0326,0.020875,0.012195730127111427
