,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.053213101458690244,0.10854351337513955,0.07559289091119893,0.023821607123175388
sanity.close_values_probability.score,0.8950579621720561,0.9810860280658938,0.951189749847468,0.03843000066983101
sanity.distant_values_probability.score,0.0006101281269066504,0.0024405125076266015,0.0013727882855399632,0.0007677277237411785
stats.jensenshannon_dist.marginal,0.01596755204768603,0.017479546715018487,0.016657711141656314,0.0006430581732318353
stats.inv_kl_divergence.marginal,0.8884218309296531,0.9044368696003123,0.896276952670544,0.006998583345842409
stats.ks_test.marginal,0.7331724231133951,0.7590879053832074,0.7483948471124273,0.011427647363528696
stats.max_mean_discrepancy.joint,0.0026101203220310802,0.002623402378191788,0.0026164513307298347,5.675454657178041e-06
stats.wasserstein_dist.joint,0.4622262716293335,0.4679073691368103,0.4652199149131775,0.002366703171103286
stats.alpha_precision.delta_precision_alpha_OC,0.3162950653187463,0.6137608550434203,0.5282115084806552,0.1417020437024609
stats.alpha_precision.delta_coverage_beta_OC,0.15386142270230363,0.35016700066800277,0.2665100450543334,0.08216168325499565
stats.alpha_precision.authenticity_OC,0.05421686746987952,0.546,0.40456323490354196,0.23421396675494396
stats.alpha_precision.delta_precision_alpha_naive,0.7412157648630595,0.7624,0.7508986428009969,0.010035810799369707
stats.alpha_precision.delta_coverage_beta_naive,0.4345333333333333,0.4821643286573146,0.45678230866015834,0.02373816620385694
stats.alpha_precision.authenticity_naive,0.501002004008016,0.5100401606425703,0.5070140481766746,0.004251193559216699
stats.prdc.precision,0.9357429718875502,0.9579158316633266,0.9433826367594627,0.010430290641369378
stats.prdc.recall,0.9884075655887736,0.99633923123856,0.9934411226357535,0.0034648617118976568
stats.prdc.density,0.850501002004008,0.9098196392785571,0.8797343771881112,0.031724067995891184
stats.prdc.coverage,0.5417937766931056,0.5838926174496645,0.560555216595485,0.017734869002591344
performance.linear_model.gt,0.6775116107744574,0.6775116107744574,0.6775116107744574,0.0
performance.linear_model.syn_id,0.6749784750404437,0.6992258847267327,0.6840520240058579,0.01139304172968155
performance.linear_model.syn_ood,0.6720101892083257,0.6961459555033696,0.6808744588867159,0.011419928444772461
performance.mlp.gt,-6192.146104570998,-6192.146104570998,-6192.146104570998,0.0
performance.mlp.syn_id,-21285.42663647571,-3818.1136084961227,-10950.145663759527,8034.857085156974
performance.mlp.syn_ood,-20006.19105126736,-3670.6022689015845,-10292.32855499252,7427.272860718919
performance.xgb.gt,0.955559134422183,0.955559134422183,0.955559134422183,0.0
performance.xgb.syn_id,0.9199769883694348,0.9591416312690717,0.943528113049622,0.018210449984457856
performance.xgb.syn_ood,0.9176712860636774,0.9586284935524276,0.9422400348326223,0.019051354548097747
performance.feat_rank_distance.corr,0.1818181818181818,0.6969696969696969,0.4545454545454545,0.21427478217774168
performance.feat_rank_distance.pvalue,0.0009744810873283095,0.459023957331249,0.13596198426059536,0.21691319551012922
detection.detection_xgb.mean,0.8709488886402627,0.8954737750067242,0.8848117473402632,0.011213575542052514
detection.detection_gmm.mean,0.34557569513664277,0.44957149250391587,0.40460054887089736,0.0497190734473708
detection.detection_linear.mean,0.7346742147363091,0.7476493634035589,0.7407793956854289,0.0055285708616776025
privacy.delta-presence.score,8.297872338660026,10.647058817266435,9.387621675854481,0.9858880458599615
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,2.00000001,8.00000001,5.750000010000001,2.8722813232690148
privacy.k-map.score,4.0,9.0,6.5,2.3804761428476167
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,2.00000001,8.00000001,5.750000010000001,2.8722813232690148
privacy.identifiability_score.,0.1671751067724222,0.17754728492983526,0.17022574740695545,0.004956704334738233
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.05186089078706528,0.015405735204392921,0.02473528454977179
prdc_precision,0.6245,0.6573,0.643775,0.014308825947645012
prdc_recall,0.7193,0.842,0.781575,0.05606052532754217
nn_identifiability,0.7398,0.7653,0.75105,0.010843277487303654
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0605,0.0693,0.064875,0.0040351579894720374
