,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.016053432911111953,0.017129452959518232,0.016565685378781368,0.00046553410971199543
sanity.close_values_probability.score,0.9921952839588176,0.9935237462636998,0.9929010295582863,0.0005812022583859399
sanity.distant_values_probability.score,0.0019926934573231483,0.004815675855197609,0.0037778146795084695,0.0012960665862911654
stats.jensenshannon_dist.marginal,0.01319149836622699,0.01488341728638809,0.013985210673791172,0.0007051818096397907
stats.inv_kl_divergence.marginal,0.8202791548791147,0.8374137631860443,0.8282363263079753,0.007219696014292344
stats.ks_test.marginal,0.8576394236496907,0.8662041403741836,0.862197658795949,0.0046297622944852165
stats.max_mean_discrepancy.joint,0.002166240000102766,0.002194344297353276,0.002178755805248659,1.1642131304787282e-05
stats.wasserstein_dist.joint,2.1771087646484375,2.1786136627197266,2.177813768386841,0.000645927018461181
stats.alpha_precision.delta_precision_alpha_OC,0.904084030129224,0.964457650934052,0.9413413747034298,0.026839356728931646
stats.alpha_precision.delta_coverage_beta_OC,0.4380761523046093,0.4617234468937874,0.4462060788243153,0.010868669952912555
stats.alpha_precision.authenticity_OC,0.48697394789579157,0.568,0.5277715430861724,0.04484015842229802
stats.alpha_precision.delta_precision_alpha_naive,0.7501670006680027,0.7875751503006012,0.7733246492985972,0.01611849829829958
stats.alpha_precision.delta_coverage_beta_naive,0.2936539746158986,0.3195724782899132,0.3061563794255177,0.01173010860063416
stats.alpha_precision.authenticity_naive,0.532,0.5691382765531062,0.5473286573146293,0.01726536619288119
stats.prdc.precision,0.9899799599198397,0.998,0.9939889779559119,0.0036602650958812047
stats.prdc.recall,0.9304217867818001,0.963301228827632,0.943997010959814,0.013983324612207639
stats.prdc.density,0.9783567134268538,1.0064,0.9926821643286574,0.011649841198543037
stats.prdc.coverage,0.22019262703420792,0.26187313184988376,0.24921122550647626,0.019581386697635993
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739095,0.0
performance.linear_model.syn_id,0.7247575088726431,0.7521705798295033,0.7427565185028046,0.01277623081477749
performance.linear_model.syn_ood,0.7249988932832193,0.7522291595163333,0.742878153910268,0.012672816715060447
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.49823424685520823,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.844355628863758,0.8594758488881313,0.8536062501345414,0.007152479333440179
performance.xgb.syn_ood,0.8446885800921823,0.8597554592994424,0.8540457255233814,0.0071706742868180556
performance.feat_rank_distance.corr,0.21959672294332888,0.40309371153059986,0.3008158376988966,0.08704303027481763
performance.feat_rank_distance.pvalue,1.5719568894371397e-97,3.4115374801272486e-30,8.528928728815982e-31,1.7057630715724508e-30
detection.detection_xgb.mean,0.8031329523993328,0.847694783667446,0.8233618190266906,0.021573751952563225
detection.detection_gmm.mean,0.4845934847363922,0.5345096634519051,0.51444732426831,0.02163441509607151
detection.detection_linear.mean,0.6503836354752499,0.6652812414129021,0.6583537767356642,0.008001557882788985
privacy.delta-presence.score,16.67647058333045,21.90909089913223,18.85851157938662,2.417419594891119
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.25000001,0.5
privacy.k-map.score,2.0,4.0,3.0,0.816496580927726
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.25000001,0.5
privacy.identifiability_score.,0.05347060777150448,0.061441381600797075,0.057912653603454003,0.0032971985472708036
privacy.identifiability_score._privacy.identifiability_score.OC,0.06642311524410495,0.07356360013284623,0.06966124211225506,0.003158009924852408
prdc_precision,0.4709,0.5431,0.5117499999999999,0.03650191775783845
prdc_recall,0.8368,0.8487,0.8399000000000001,0.005871399605999694
nn_identifiability,0.716,0.74,0.727725,0.012082321796740892
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0031,0.0059,0.0040999999999999995,0.0012355835328567092
