,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.09999999996666667,0.06666666664444446,0.04714045206338968
sanity.nearest_syn_neighbor_distance.mean,0.4410183187612444,0.4847237263203742,0.47311698334175517,0.021408772862057827
sanity.close_values_probability.score,0.1,0.16666666666666666,0.14166666666666666,0.03191423692521126
sanity.distant_values_probability.score,0.03333333333333333,0.23333333333333334,0.11666666666666667,0.08819171036881969
stats.jensenshannon_dist.marginal,0.025858288381246493,0.02921117652273463,0.027983212107440224,0.0015783339540969689
stats.inv_kl_divergence.marginal,0.5848876711241193,0.7062950804255865,0.6649830239145189,0.05438762391051893
stats.ks_test.marginal,0.7366666666666667,0.7866666666666667,0.7583333333333333,0.020816659994661358
stats.max_mean_discrepancy.joint,0.04433937305911473,0.07107362160356506,0.06109453930671073,0.011865420257069187
stats.wasserstein_dist.joint,0.0679236575961113,0.11080221831798553,0.08922089636325836,0.01809861188413355
stats.alpha_precision.delta_precision_alpha_OC,0.8177777777777777,0.8866666666666667,0.8501340996168583,0.028246973235961016
stats.alpha_precision.delta_coverage_beta_OC,0.42000000000000004,0.600153256704981,0.5039272030651342,0.08153586485902983
stats.alpha_precision.authenticity_OC,0.36666666666666664,0.6666666666666666,0.5333333333333333,0.1305260013830081
stats.alpha_precision.delta_precision_alpha_naive,0.8167049808429119,0.878927203065134,0.8487739463601532,0.026341174967464676
stats.alpha_precision.delta_coverage_beta_naive,0.3044444444444444,0.5555555555555556,0.45559386973180077,0.11079446668010658
stats.alpha_precision.authenticity_naive,0.3333333333333333,0.7,0.4583333333333333,0.1663886570207993
stats.prdc.precision,0.95,0.9833333333333333,0.9666666666666667,0.01360827634879543
stats.prdc.recall,0.9666666666666667,1.0,0.9916666666666667,0.016666666666666663
stats.prdc.density,0.87,0.91,0.895,0.017320508075688787
stats.prdc.coverage,0.9333333333333333,1.0,0.9833333333333334,0.033333333333333326
performance.linear_model.gt,0.975,0.975,0.975,0.0
performance.linear_model.syn_id,0.993923611111111,0.9961805555555555,0.9947916666666666,0.0010319765335721643
performance.linear_model.syn_ood,0.9888888888888889,0.9972222222222221,0.99375,0.003495293720032705
performance.mlp.gt,0.75275,0.75275,0.75275,0.0
performance.mlp.syn_id,0.7052500000000002,0.8082499999999999,0.756375,0.047198825903476245
performance.mlp.syn_ood,0.7222222222222222,0.8333333333333334,0.7847222222222223,0.05134507641856213
performance.xgb.gt,0.9583333333333333,0.9583333333333333,0.9583333333333333,0.0
performance.xgb.syn_id,0.9579861111111111,0.9953125,0.9711805555555556,0.016529260943411603
performance.xgb.syn_ood,0.9555555555555555,0.9916666666666668,0.9680555555555554,0.016117495542156773
performance.feat_rank_distance.corr,-0.013749683116423474,0.06898028273475494,0.024226804938621744,0.03444453960326489
performance.feat_rank_distance.pvalue,0.7008094182934653,0.9387882024878973,0.8639557244437692,0.1124685881763071
detection.detection_xgb.mean,0.49027777777777787,0.601388888888889,0.5434027777777779,0.04795690741838762
detection.detection_gmm.mean,0.4402777777777779,0.6208333333333333,0.5385416666666667,0.0742882465128828
detection.detection_linear.mean,0.5916666666666667,0.6611111111111111,0.6208333333333332,0.03312046226392577
privacy.delta-presence.score,0.7857142851530612,0.999999999090909,0.8392857136375231,0.1071428569689239
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0
privacy.k-anonymization.syn,4.00000001,9.00000001,7.000000010000001,2.4494897427831788
privacy.k-map.score,11.0,14.0,13.25,1.5
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0
privacy.distinct l-diversity.syn,4.00000001,9.00000001,7.000000010000001,2.4494897427831788
privacy.identifiability_score.,0.5,0.6333333333333333,0.55,0.06382847385042252
privacy.identifiability_score._privacy.identifiability_score.OC,0.43333333333333335,0.8333333333333334,0.625,0.168599898949928
prdc_precision,0.8667,0.95,0.908325,0.03966294450323457
prdc_recall,0.8333,1.0,0.91665,0.06939954370647305
nn_identifiability,0.5122,0.63,0.57165,0.05998346994519963
coverage_score,0.9194,1.0,0.9472,0.03735273305484709
mmd,0.0239,0.0521,0.035925,0.013021616643105418
