,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.13418656202175447,0.16529334799821455,0.15014763808560183,0.01320343028873107
sanity.close_values_probability.score,0.7607781282860148,0.8291272344900105,0.7943611987381705,0.030347598715177445
sanity.distant_values_probability.score,0.001840168243953733,0.002103049421661409,0.00203732912723449,0.000131440588853838
stats.jensenshannon_dist.marginal,0.016842496331028852,0.01771717141460248,0.01729094983295456,0.0004260720356932398
stats.inv_kl_divergence.marginal,0.9065869515752567,0.9159262079390534,0.9098371767482488,0.004203156807339945
stats.ks_test.marginal,0.8226978300353696,0.8297647465906229,0.8261178893504517,0.0036641025563971317
stats.max_mean_discrepancy.joint,0.0022642345007116167,0.00227639290040955,0.0022683120700612994,5.711403813599054e-06
stats.wasserstein_dist.joint,0.7645351886749268,0.7666589021682739,0.7654806822538376,0.0008803498517982608
stats.alpha_precision.delta_precision_alpha_OC,0.44131455399061037,0.6037333333333333,0.5375113372284476,0.06933294627495074
stats.alpha_precision.delta_coverage_beta_OC,0.3476,0.38249832999332,0.36309433434272975,0.014709565221859148
stats.alpha_precision.authenticity_OC,0.552,0.648,0.6032181062325859,0.039598864950262866
stats.alpha_precision.delta_precision_alpha_naive,0.7439430585308549,0.7642574712643678,0.754906461226067,0.008458058017205915
stats.alpha_precision.delta_coverage_beta_naive,0.4032,0.45905143620574484,0.43465970680462196,0.027464597459397753
stats.alpha_precision.authenticity_naive,0.531062124248497,0.566,0.5455834385067923,0.014820892474658459
stats.prdc.precision,0.968,0.9739478957915831,0.971447738535421,0.0029422888593580413
stats.prdc.recall,0.963459516298633,0.9726603575184016,0.9666798107255521,0.00410282767564297
stats.prdc.density,0.9476000000000001,0.9767535070140281,0.9651352580412333,0.012709076594820807
stats.prdc.coverage,0.38485804416403785,0.4022082018927445,0.3934016824395373,0.009153148637448021
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.8080708037607455,0.8134877315807012,0.8111171821335613,0.0023624843642058085
performance.linear_model.syn_ood,0.8082682014814978,0.81384920404311,0.8113800742194095,0.0024205726622571725
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.6079356125660624,0.760471033608091,0.6485680341521085,0.07464176459335935
performance.mlp.syn_ood,0.6000303789777475,0.7417103364471785,0.6420720361509835,0.06674097001578992
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.8618397234866378,0.8785801392136994,0.8727557688193086,0.007457063845679277
performance.xgb.syn_ood,0.8617951393020645,0.8783826638120267,0.8725196156567349,0.007345515177675432
performance.feat_rank_distance.corr,0.1221661249049035,0.25795006570302226,0.1949391382529912,0.07072267213058124
performance.feat_rank_distance.pvalue,1.7566056944221377e-26,4.569641123326924e-07,1.1460953061928059e-07,2.2823744553339193e-07
detection.detection_xgb.mean,0.7625372604948438,0.7838259388616086,0.7725315068434535,0.011410863649285865
detection.detection_gmm.mean,0.4021102012587316,0.5307927676725761,0.47643752645061865,0.05421770029092885
detection.detection_linear.mean,0.6982352751528006,0.7066360398367799,0.702152790448576,0.0035144861159626256
privacy.delta-presence.score,13.076923066863905,14.16666665486111,13.89423075786181,0.5448717939986025
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,1.00000001,6.00000001,4.50000001,2.3804761428476167
privacy.k-map.score,6.0,7.0,6.75,0.5
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,1.00000001,6.00000001,4.50000001,2.3804761428476167
privacy.identifiability_score.,0.09831756046267087,0.10725552050473186,0.10311514195583596,0.0037076188219488312
privacy.identifiability_score._privacy.identifiability_score.OC,0.08727655099894847,0.09700315457413249,0.09332281808622503,0.004362032409622726
prdc_precision,0.842,0.8617,0.8557250000000001,0.009295653105977377
prdc_recall,0.9075,0.9306,0.921875,0.009979103166116684
nn_identifiability,0.6585,0.6747,0.6634500000000001,0.007569456167167265
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0314,0.0321,0.031775,0.00029860788111948157
