,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.013088565679511034,0.018886421817717276,0.01582759607283829,0.0027565434067930257
sanity.close_values_probability.score,0.9863013698630136,0.9917808219178083,0.9894977168949772,0.002298275322761296
sanity.distant_values_probability.score,0.0009132420091324201,0.0027397260273972603,0.0018264840182648401,0.0007456589780161882
stats.jensenshannon_dist.marginal,0.012891671210062065,0.013452772804744783,0.013130093898107752,0.0002675756651595465
stats.inv_kl_divergence.marginal,0.9183781913470143,0.9233096378828759,0.9204266726845277,0.0020828619036962624
stats.ks_test.marginal,0.7433569691886718,0.7513531822129184,0.7488493933921161,0.0036951259972554827
stats.max_mean_discrepancy.joint,0.002925895093332084,0.002971856563699056,0.002948177097665914,2.509675464100151e-05
stats.wasserstein_dist.joint,0.26495078206062317,0.272391140460968,0.26855582743883133,0.003677380674934605
stats.alpha_precision.delta_precision_alpha_OC,0.4029931972789115,0.41486025903203816,0.40736336407773743,0.005631229247293554
stats.alpha_precision.delta_coverage_beta_OC,0.2608163265306124,0.30799999999999983,0.28390346813572054,0.02019613885309781
stats.alpha_precision.authenticity_OC,0.596,0.742,0.6465591795000208,0.06571230187472937
stats.alpha_precision.delta_precision_alpha_naive,0.594421768707483,0.6368098159509203,0.6187906547852905,0.018013269765823302
stats.alpha_precision.delta_coverage_beta_naive,0.3357873210633946,0.3481333333333334,0.3426386670005426,0.00528989016126671
stats.alpha_precision.authenticity_naive,0.621676891615542,0.676,0.6405926922916406,0.024210783408100647
stats.prdc.precision,0.886,0.9142857142857143,0.8959640666082385,0.012645156935833448
stats.prdc.recall,0.989041095890411,0.9981735159817352,0.9947488584474886,0.004109589041095884
stats.prdc.density,0.6932,0.7253061224489796,0.7116788823504863,0.013898737217433661
stats.prdc.coverage,0.5452054794520548,0.5808219178082191,0.567351598173516,0.01566549479306706
performance.linear_model.gt,0.9869461645920644,0.9869461645920644,0.9869461645920644,0.0
performance.linear_model.syn_id,0.981207908508997,0.9872677800713079,0.9846861251850463,0.0026707318488228943
performance.linear_model.syn_ood,0.9812868789224577,0.9872615249890535,0.9846700965367694,0.002637938941398343
performance.mlp.gt,0.9761701260752235,0.9761701260752235,0.9761701260752235,0.0
performance.mlp.syn_id,0.5069251546951425,0.9720180902924186,0.8547316344451004,0.23187295950904038
performance.mlp.syn_ood,0.5225104772627759,0.9665717979191426,0.8540396103083755,0.22102502687273867
performance.xgb.gt,0.9975125622901941,0.9975125622901941,0.9975125622901941,0.0
performance.xgb.syn_id,0.9948980030649903,0.9962814187569066,0.9956737635787412,0.0005731487461316755
performance.xgb.syn_ood,0.9949928066554075,0.9962167177498383,0.9956782594191114,0.0005075021981600248
performance.feat_rank_distance.corr,0.5107143412347057,0.5848131290638667,0.5441648357144406,0.030544394356996213
performance.feat_rank_distance.pvalue,4.922581356249805e-179,6.353537398098643e-137,1.5883843495246611e-137,3.1767686990493204e-137
detection.detection_xgb.mean,0.7839269406392694,0.8011780821917807,0.7954532475043399,0.008118144580551295
detection.detection_gmm.mean,0.5225525114155252,0.5933652968036529,0.5556093527087436,0.031066171031173522
detection.detection_linear.mean,0.7481735159817351,0.7551020408163265,0.7518727475173093,0.003743291894599235
privacy.delta-presence.score,4.346153845819527,4.947368420618652,4.627302135048613,0.2688921340327142
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,2.0,1.5,0.5773502691896257
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.182648401826484,0.1954337899543379,0.1901826484018265,0.0054984450131471746
privacy.identifiability_score._privacy.identifiability_score.OC,0.1634703196347032,0.1908675799086758,0.17557077625570777,0.012987637126326845
prdc_precision,0.7403,0.758,0.749825,0.00727936581486787
prdc_recall,0.895,0.9388,0.9082250000000001,0.020829846374853536
nn_identifiability,0.7858,0.7974,0.790925,0.005007577591344262
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0727,0.0823,0.077275,0.004694944089123959
