,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.22626424582550636,0.2550309653286283,0.2418127844677434,0.011938156226058979
sanity.close_values_probability.score,0.36632747456059206,0.4616096207215541,0.40194264569842736,0.045573165353389816
sanity.distant_values_probability.score,0.0009250693802035153,0.0018501387604070306,0.001387604070305273,0.0005340890556795798
stats.jensenshannon_dist.marginal,0.01317691006478451,0.014424486489848965,0.013620600086743791,0.0005569370839064952
stats.inv_kl_divergence.marginal,0.9308295629327423,0.9398063858865412,0.935793325793601,0.003789341775172483
stats.ks_test.marginal,0.8984628430465618,0.9037788806104347,0.9022324167298519,0.002524143891948976
stats.max_mean_discrepancy.joint,0.010338447601516032,0.011448048896359836,0.010755725123675224,0.0004945133716936775
stats.wasserstein_dist.joint,0.0636943131685257,0.06612201780080795,0.06455795653164387,0.0010753045845617714
stats.alpha_precision.delta_precision_alpha_OC,0.8431529726118905,0.8716,0.8596882431529727,0.01191678253619093
stats.alpha_precision.delta_coverage_beta_OC,0.3954575818303273,0.46586666666666676,0.4198643954575818,0.031679781271005666
stats.alpha_precision.authenticity_OC,0.538,0.5791583166332666,0.5642895791583167,0.0187032897177532
stats.alpha_precision.delta_precision_alpha_naive,0.8642666666666667,0.8884000000000001,0.8765080160320642,0.011010846601769113
stats.alpha_precision.delta_coverage_beta_naive,0.30674682698730793,0.35306666666666664,0.3323533734134937,0.02238886074317242
stats.alpha_precision.authenticity_naive,0.6052104208416834,0.654,0.6258026052104209,0.02141689942364908
stats.prdc.precision,0.814,0.872,0.8434198396793586,0.023925729505437046
stats.prdc.recall,0.9888991674375578,0.9990749306197965,0.9953746530989824,0.004594407778523384
stats.prdc.density,0.6573146292585171,0.6984,0.6726286573146294,0.018153413579249624
stats.prdc.coverage,0.6567992599444958,0.7039777983348752,0.6843200740055504,0.02069035082918137
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.7989940370526865,0.8124035280911596,0.8055367101846819,0.005844110534993373
performance.linear_model.syn_ood,0.7997152627892324,0.8136852557678902,0.8064666823487815,0.006026627815700942
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.6900217079317632,0.7934420047968745,0.7600429044816264,0.047253129998593005
performance.mlp.syn_ood,0.7471659919028341,0.7881578947368421,0.7683957489878542,0.0188319637868658
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760143,0.0
performance.xgb.syn_id,0.8371356439058217,0.8867487830540155,0.8606506734996369,0.021206782302684614
performance.xgb.syn_ood,0.8365435578766389,0.887935275038877,0.8605470137720528,0.022021283610653773
performance.feat_rank_distance.corr,0.22874213212341685,0.4031748741145344,0.2952527903380888,0.07796481683386165
performance.feat_rank_distance.pvalue,9.862720940641477e-19,5.353713558454459e-07,1.4599356156324308e-07,2.605913893324265e-07
detection.detection_xgb.mean,0.762163082437276,0.7879248669490604,0.7735255609086255,0.011045282743894151
detection.detection_gmm.mean,0.47669192113143727,0.5117716547192355,0.4983452366405996,0.015091836860666423
detection.detection_linear.mean,0.5379960550202486,0.5585758661887694,0.5507320420022033,0.00914221544202726
privacy.delta-presence.score,3.3749999985937498,3.8571428553061224,3.5689052779267643,0.20422981303267826
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,10.00000001,18.00000001,13.00000001,3.559026084010437
privacy.k-map.score,16.0,18.0,17.25,0.9574271077563381
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,10.00000001,18.00000001,13.00000001,3.559026084010437
privacy.identifiability_score.,0.20444033302497688,0.22664199814986125,0.2150786308973173,0.009833622398459436
privacy.identifiability_score._privacy.identifiability_score.OC,0.23681776133209992,0.27104532839962997,0.2574005550416281,0.015742042751050053
prdc_precision,0.7,0.774,0.7233499999999999,0.034460944076833824
prdc_recall,0.9565,0.9796,0.9662000000000001,0.011600862036935007
nn_identifiability,0.7436,0.765,0.7586750000000001,0.010095997556787856
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0026,0.0039,0.0034999999999999996,0.0006164414002968976
