,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.010055393691570165,0.04094835755466277,0.022874184404275057,0.013432426489872548
sanity.close_values_probability.score,0.9727272727272728,0.9939393939393939,0.9863636363636363,0.01005037815259208
sanity.distant_values_probability.score,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0
stats.jensenshannon_dist.marginal,0.010130810219834759,0.012073208229781397,0.011226593044980297,0.0008170579569334122
stats.inv_kl_divergence.marginal,0.8691416545935411,0.9046266340055754,0.885020367964942,0.015482530825164221
stats.ks_test.marginal,0.8413560606060606,0.8532954545454545,0.8477234848484849,0.00575159344977624
stats.max_mean_discrepancy.joint,0.005030303030303031,0.0050332460667326835,0.005031038789410444,1.47151821482637e-06
stats.wasserstein_dist.joint,0.034469664096832275,0.04477200657129288,0.038723173551261425,0.0046042874956329005
stats.alpha_precision.delta_precision_alpha_OC,0.928115639150122,0.9514803204458377,0.9431556948798328,0.010447305041843881
stats.alpha_precision.delta_coverage_beta_OC,0.4105050505050504,0.43979797979797985,0.4228787878787879,0.012459231889360798
stats.alpha_precision.authenticity_OC,0.49696969696969695,0.5818181818181818,0.5371212121212121,0.04337851709466459
stats.alpha_precision.delta_precision_alpha_naive,0.9376036224312086,0.9598119122257053,0.9486067572274468,0.009530419621666278
stats.alpha_precision.delta_coverage_beta_naive,0.39474747474747474,0.45232323232323235,0.4176262626262627,0.025482521636503525
stats.alpha_precision.authenticity_naive,0.5272727272727272,0.6060606060606061,0.5833333333333334,0.03780801469133923
stats.prdc.precision,0.996,1.0,0.998,0.0016329931618554536
stats.prdc.recall,0.9424242424242424,0.9666666666666667,0.9545454545454545,0.012371160317086774
stats.prdc.density,1.0008,1.0316,1.0177,0.014917998078384018
stats.prdc.coverage,0.9545454545454546,0.9848484848484849,0.9727272727272728,0.013775941108066504
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,0.4702015260207742,0.4860078251966504,0.47928958028776475,0.006607159673312886
performance.linear_model.syn_ood,0.451992944955178,0.46743281447135754,0.4598001439750285,0.006536942512132483
performance.mlp.gt,-2.2988603336741944,-2.2988603336741944,-2.2988603336741944,0.0
performance.mlp.syn_id,-2.2981527916943123,-2.2964832162092343,-2.2975445218454187,0.0007394091781619032
performance.mlp.syn_ood,-3.235048984533188,-3.232719271134363,-3.234200120426758,0.0010320086315719376
performance.xgb.gt,0.4757466193148698,0.4757466193148698,0.4757466193148698,0.0
performance.xgb.syn_id,0.06655250211426031,0.36520444965006504,0.23004944996906546,0.14619126404515886
performance.xgb.syn_ood,0.021528835609892782,0.35005977635958435,0.20196448148350404,0.15604866302473386
performance.feat_rank_distance.corr,0.6831300510639733,0.9759000729485332,0.7849375455928334,0.13424309621755098
performance.feat_rank_distance.pvalue,0.002379816463809705,0.03344063866399787,0.02060244589275148,0.014680012526657764
detection.detection_xgb.mean,0.7876060606060606,0.8243030303030302,0.8107348484848484,0.01638054448200002
detection.detection_gmm.mean,0.42218181818181816,0.5312121212121214,0.49107954545454546,0.05000247219936598
detection.detection_linear.mean,0.6284848484848485,0.6540909090909091,0.6437954545454546,0.012462502680600401
privacy.delta-presence.score,1.3437499995800781,2.749999997708333,1.7109374990356445,0.6928649563445166
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.50000001,0.5773502691896257
privacy.k-map.score,1.0,4.0,2.25,1.5
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.50000001,0.5773502691896257
privacy.identifiability_score.,0.4696969696969697,0.5484848484848485,0.5128787878787879,0.03739079599773655
privacy.identifiability_score._privacy.identifiability_score.OC,0.45151515151515154,0.5121212121212121,0.49242424242424243,0.028047360357403652
prdc_precision,0.832,0.854,0.84,0.009660917830792967
prdc_recall,0.797,0.8455,0.8280500000000001,0.022174234297189756
nn_identifiability,0.6142,0.6319,0.621325,0.007768472608348889
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0278,0.0394,0.0325,0.005280151512977633
