,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.22998645258936287,0.2779801372776754,0.24714087160893877,0.02256559946821901
sanity.close_values_probability.score,0.5,0.6111111111111112,0.5555555555555556,0.05071505162084874
sanity.distant_values_probability.score,0.027777777777777776,0.05555555555555555,0.034722222222222224,0.013888888888888888
stats.jensenshannon_dist.marginal,0.018863503909667206,0.02254385396157208,0.020850766239354307,0.0017381758176540755
stats.inv_kl_divergence.marginal,0.61661156378697,0.6799962142610483,0.6532959806599231,0.028841423935365883
stats.ks_test.marginal,0.8208976078694389,0.8379443326626426,0.8298960429242119,0.007735019348858031
stats.max_mean_discrepancy.joint,0.041846277513009726,0.04395819418161566,0.04238232662083201,0.001050605943380422
stats.wasserstein_dist.joint,0.23942095041275024,0.26184386014938354,0.24816257879137993,0.009950423852195788
stats.alpha_precision.delta_precision_alpha_OC,0.6833333333333333,0.8499361430395913,0.7657886334610473,0.06816654752261521
stats.alpha_precision.delta_coverage_beta_OC,0.2314814814814814,0.6073435504469987,0.45507662835249035,0.1607064539227394
stats.alpha_precision.authenticity_OC,0.5,0.6944444444444444,0.5625,0.08893228107545621
stats.alpha_precision.delta_precision_alpha_naive,0.8480842911877395,0.9460408684546615,0.9021871008939975,0.044494491836289674
stats.alpha_precision.delta_coverage_beta_naive,0.5592592592592593,0.6246487867177524,0.5871328224776502,0.02727788673716447
stats.alpha_precision.authenticity_naive,0.3333333333333333,0.5277777777777778,0.42361111111111116,0.07978559231302819
stats.prdc.precision,1.0,1.0,1.0,0.0
stats.prdc.recall,0.9722222222222222,1.0,0.9930555555555556,0.013888888888888895
stats.prdc.density,0.943661971830986,1.0084507042253523,0.9859154929577465,0.02900177504503382
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.9620535714285714,0.9620535714285714,0.9620535714285714,0.0
performance.linear_model.syn_id,0.9915728360309641,1.0,0.9953956508287025,0.0034871325293964668
performance.linear_model.syn_ood,0.9918367346938777,1.0,0.9954081632653061,0.00348535740338759
performance.mlp.gt,0.43550000000000005,0.43550000000000005,0.43550000000000005,0.0
performance.mlp.syn_id,0.40972222222222215,0.4621666666666666,0.44697222222222216,0.025142126863292157
performance.mlp.syn_ood,0.5703125,0.640625,0.623046875,0.03515625
performance.xgb.gt,0.9923150510204082,0.9923150510204082,0.9923150510204082,0.0
performance.xgb.syn_id,0.9819890679220558,0.995591830668058,0.9880510780412046,0.00562665061682992
performance.xgb.syn_ood,0.9816326530612244,0.9932716836734695,0.9865832270408164,0.00513431642543479
performance.feat_rank_distance.corr,0.07479575920067656,0.4316481091887744,0.29715418733087373,0.16730148272238965
performance.feat_rank_distance.pvalue,0.003962238733916913,0.6165301960386342,0.1762878907026594,0.29562645889624356
detection.detection_xgb.mean,0.5505442176870747,0.6124489795918369,0.5818664965986395,0.025667348097923957
detection.detection_gmm.mean,0.47323979591836735,0.5553571428571428,0.5268367346938775,0.03850393907924002
detection.detection_linear.mean,0.43190476190476196,0.45670068027210886,0.44501700680272116,0.013207276118545443
privacy.delta-presence.score,0.5333333331555555,0.6666666663888888,0.6076923074600756,0.055153045445723074
privacy.k-anonymization.gt,16.0,16.0,16.0,0.0
privacy.k-anonymization.syn,2.00000001,10.00000001,6.750000010000001,3.5939764421413045
privacy.k-map.score,24.0,30.0,26.5,2.516611478423583
privacy.distinct l-diversity.gt,16.0,16.0,16.0,0.0
privacy.distinct l-diversity.syn,2.00000001,10.00000001,6.750000010000001,3.5939764421413045
privacy.identifiability_score.,0.6944444444444444,0.8333333333333334,0.7916666666666667,0.06612433730132271
privacy.identifiability_score._privacy.identifiability_score.OC,0.6944444444444444,0.7777777777777778,0.7361111111111112,0.03586095690932795
prdc_precision,0.8732,0.9437,0.904925,0.03126471653477767
prdc_recall,0.6111,0.7222,0.6736,0.05725457769180264
nn_identifiability,0.4425,0.5129,0.4777,0.03760434372072814
coverage_score,0.9769,0.9923,0.9865249999999999,0.007372188729723785
mmd,0.0,0.0006,0.00025,0.0003
