metric,mean_across_datasets
coverage_score,0.5530416666666667
detection.detection_gmm.mean,0.41694013381971895
detection.detection_linear.mean,0.9472056728419592
detection.detection_xgb.mean,0.9987077511847133
mmd,0.38129166666666664
nn_identifiability,3.3293166666666667
prdc_precision,0.31945833333333334
prdc_recall,0.07189166666666667
privacy.delta-presence.score,199.46208481425614
privacy.distinct l-diversity.gt,10.0
privacy.distinct l-diversity.syn,6.083333343333333
privacy.identifiability_score.,0.004341005582060966
privacy.identifiability_score._privacy.identifiability_score.OC,0.008391834993285502
privacy.k-anonymization.gt,10.0
privacy.k-anonymization.syn,6.083333343333333
privacy.k-map.score,86.33333333333334
sanity.close_values_probability.score,0.5750292983689723
sanity.common_rows_proportion.score,0.0
sanity.data_mismatch.score,0.0
sanity.distant_values_probability.score,0.011468488224192797
sanity.nearest_syn_neighbor_distance.mean,0.19933741023385293
stats.alpha_precision.authenticity_OC,0.9039930640755329
stats.alpha_precision.authenticity_naive,0.9530108789006584
stats.alpha_precision.delta_coverage_beta_OC,0.056060579499930985
stats.alpha_precision.delta_coverage_beta_naive,0.014374418433937507
stats.alpha_precision.delta_precision_alpha_OC,0.3591314027966075
stats.alpha_precision.delta_precision_alpha_naive,0.2714698257868944
stats.inv_kl_divergence.marginal,0.3268778192388336
stats.jensenshannon_dist.marginal,0.04124827740045073
stats.ks_test.marginal,0.5442486141578828
stats.max_mean_discrepancy.joint,0.10017683445910777
stats.prdc.coverage,0.09317987876045125
stats.prdc.density,0.4355376954261587
stats.prdc.precision,0.5316638263345569
stats.prdc.recall,0.4271191960229766
stats.wasserstein_dist.joint,68341.95724875356
performance.feat_rank_distance.corr_class,0.034475689228005965
performance.feat_rank_distance.corr_reg,0.505409255338946
performance.feat_rank_distance.pvalue_class,0.03296413619942027
performance.feat_rank_distance.pvalue_reg,0.1658873844453522
performance.linear_model.gt_class,0.7881636370174863
performance.linear_model.gt_reg,0.5104160533806608
performance.linear_model.syn_id_class,0.44167839979719625
performance.linear_model.syn_id_reg,-64221842.393428504
performance.linear_model.syn_ood_class,0.44155076513328684
performance.linear_model.syn_ood_reg,-70074169.03286447
performance.mlp.gt_class,0.6508153060846863
performance.mlp.gt_reg,-2.2988603115081787
performance.mlp.syn_id_class,0.4722662734847242
performance.mlp.syn_id_reg,-2.321808354059855
performance.mlp.syn_ood_class,0.4693582976477713
performance.mlp.syn_ood_reg,-3.26801331837972
performance.xgb.gt_class,0.9153823025521978
performance.xgb.gt_reg,0.47574659585952767
performance.xgb.syn_id_class,0.5452702371407847
performance.xgb.syn_id_reg,-4.922630747159322
performance.xgb.syn_ood_class,0.545364532527413
performance.xgb.syn_ood_reg,-5.64845423301061
