,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.028411745255085923,0.04728093872055187,0.03570143008881881,0.01013970200117894
sanity.close_values_probability.score,0.9438724676187313,0.9818997010959813,0.9688918410273443,0.021673139159351845
sanity.distant_values_probability.score,0.0006642311524410495,0.0006642311524410495,0.0006642311524410494,1.3278710503032405e-19
stats.jensenshannon_dist.marginal,0.022414912671566475,0.024618208960225055,0.02351685827216167,0.0011016482648036343
stats.inv_kl_divergence.marginal,0.3607264551166943,0.40256481839919334,0.37516012991965814,0.023744421605672784
stats.ks_test.marginal,0.72832948083702,0.7608618460029951,0.7497297042453912,0.018538172008404883
stats.max_mean_discrepancy.joint,0.0029626258000620903,0.13664192980972578,0.08216477790037081,0.0701857058521108
stats.wasserstein_dist.joint,2.2136683464050293,2.2478389739990234,2.2348591486612954,0.01850602750482762
stats.alpha_precision.delta_precision_alpha_OC,0.280335632183908,0.8566982442844512,0.6220920897666665,0.30275296157432896
stats.alpha_precision.delta_coverage_beta_OC,0.04249084249084245,0.19053333333333344,0.09343958833417758,0.08411994700444289
stats.alpha_precision.authenticity_OC,0.722,0.9278557114228457,0.8473878012435127,0.1100340444647238
stats.alpha_precision.delta_precision_alpha_naive,0.4646666666666667,0.8709188491926382,0.7175390732625201,0.22064518263349905
stats.alpha_precision.delta_coverage_beta_naive,0.03838827838827841,0.05237140948563801,0.04487545151352775,0.007045936699398345
stats.alpha_precision.authenticity_naive,0.779559118236473,0.862,0.8233768489359671,0.041465196124928966
stats.prdc.precision,0.8769230769230769,0.998,0.9576396896356817,0.06990263714527165
stats.prdc.recall,0.26552640318830956,0.9309199601461309,0.49839477471493415,0.37494570128771854
stats.prdc.density,0.8307692307692309,0.9975951903807616,0.9395881403833309,0.0943085839590177
stats.prdc.coverage,0.014280969777482564,0.07439388907339754,0.03802723347725009,0.03198197125386358
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739097,1.3597399555105182e-16
performance.linear_model.syn_id,0.497933829263187,0.5667641345095433,0.5285831663766429,0.035027800807878866
performance.linear_model.syn_ood,0.4977834826681016,0.5667334545076709,0.5286587426000023,0.03503425089441603
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.4982342468552082,6.798699777552591e-17
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.7022876307877272,0.7425798889602813,0.7236039216162412,0.0202478234057373
performance.xgb.syn_ood,0.7030551703603483,0.7424866252926619,0.7237868258150458,0.019794096052951515
performance.feat_rank_distance.corr,-0.10190460496785542,0.09832275896528364,-0.011147256747448875,0.10141682434592494
performance.feat_rank_distance.pvalue,1.3277129401154532e-07,0.12220409814177118,0.04073486163454492,0.07055442844226725
detection.detection_xgb.mean,0.9937615431273349,0.9983588020511981,0.9965591192169678,0.0024557159068474667
detection.detection_gmm.mean,0.28079307836919537,0.49588141742047814,0.41781341149179413,0.11904738997619256
detection.detection_linear.mean,0.8332110056442502,0.8852981934354365,0.8611497083866012,0.02624963039019324
privacy.delta-presence.score,343.99999656000006,794.9999960250001,639.3333282650001,255.89125159430847
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.3333333433333332,0.5773502691896257
privacy.identifiability_score.,0.0024908668216539354,0.01743606775157755,0.009963467286615742,0.007472600464961807
privacy.identifiability_score._privacy.identifiability_score.OC,0.0033211557622052474,0.020425107937562272,0.01101516661131407,0.008680127191234406
prdc_precision,0.2505,0.986,0.6597999999999999,0.37472559293434976
prdc_recall,0.1257,0.2018,0.17643333333333333,0.04393635548533052
nn_identifiability,0.0067,0.1036,0.055499999999999994,0.048453792421233655
coverage_score,0.6381,0.8524,0.727,0.11171530781410399
mmd,0.1071,0.2215,0.17813333333333334,0.0620155088129843
