,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.3054186751790452,0.3280469790191247,0.31336928874455267,0.012725965757339157
sanity.close_values_probability.score,0.22187171398527866,0.26130389064143006,0.2478093235191027,0.02246878094826712
sanity.distant_values_probability.score,0.0034174553101997897,0.004206098843322818,0.003943217665615142,0.0004553235561432379
stats.jensenshannon_dist.marginal,0.054887486039989324,0.06292707394868789,0.059781903886114963,0.004295770511982821
stats.inv_kl_divergence.marginal,0.19677592566257898,0.3343005066258909,0.24958557874131512,0.07410608957846003
stats.ks_test.marginal,0.3023860051620304,0.38708364401108886,0.3309036739636109,0.04865516097307118
stats.max_mean_discrepancy.joint,0.014087779530516164,0.26283661797925906,0.12071645079360027,0.12811608357078474
stats.wasserstein_dist.joint,4.498504638671875,6213.197265625,2074.0721451441445,3584.5875037958713
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.052266666666666683,0.018755555555555564,0.02909030639106309
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.017866666666666697,0.0072000000000000215,0.009424318425105233
stats.alpha_precision.authenticity_OC,0.904,1.0,0.952,0.04799999999999999
stats.alpha_precision.delta_precision_alpha_naive,0.010400000000000076,0.049599999999999866,0.03048888888888886,0.01961828323368365
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0
stats.prdc.precision,0.0,0.044,0.014666666666666666,0.02540341184434353
stats.prdc.recall,0.0,0.0015772870662460567,0.0005257623554153522,0.0009106471122864759
stats.prdc.density,0.0,0.0092,0.0030666666666666668,0.005311622476544557
stats.prdc.coverage,0.0,0.0007886435331230284,0.0002628811777076761,0.00045532355614323795
performance.linear_model.gt,0.8280465056642342,0.8280465056642342,0.8280465056642342,0.0
performance.linear_model.syn_id,0.42181980006672176,0.45701584866587125,0.4448187375988166,0.019929878335907005
performance.linear_model.syn_ood,0.4214153036867718,0.45698894211359586,0.4446886395639858,0.020166222577298252
performance.mlp.gt,0.6730413353499314,0.6730413353499314,0.6730413353499314,0.0
performance.mlp.syn_id,0.4614903511580516,0.5262801234485598,0.495839316451362,0.03257121312316417
performance.mlp.syn_ood,0.468090681248576,0.5323991797676009,0.5001632870053924,0.032154560212004975
performance.xgb.gt,0.9172376192597799,0.9172376192597799,0.9172376192597799,0.0
performance.xgb.syn_id,0.4815865113875306,0.5635720529359828,0.5285117577632404,0.04226097556889623
performance.xgb.syn_ood,0.48145831853588084,0.5629805205566979,0.5282456668190739,0.04207629171111638
performance.feat_rank_distance.corr,-0.23414879553539614,0.18041570825361034,0.009273463883362226,0.21652767116933563
performance.feat_rank_distance.pvalue,4.625347957360104e-22,0.000997388031792587,0.00033246267730032195,0.0005758422486106749
detection.detection_xgb.mean,1.0,1.0,1.0,0.0
detection.detection_gmm.mean,0.23090212843211838,0.3507633238813196,0.3067788292182493,0.06598871988586187
detection.detection_linear.mean,0.999994743758213,1.0,0.9999982479194043,3.0346926106755376e-06
privacy.delta-presence.score,6.00399999987992,82.99999917000001,31.66933305658662,44.45366084739304
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,1.00000001,6.00000001,2.6666666766666665,2.886751345948129
privacy.k-map.score,1.0,500.0,333.6666666666667,288.09778432562325
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,1.00000001,6.00000001,2.6666666766666665,2.886751345948129
privacy.identifiability_score.,0.0,0.0,0.0,0.0
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.0007886435331230284,0.00035050823694356814,0.00040155763187485455
prdc_precision,0.0,0.0,0.0,0.0
prdc_recall,0.0,0.0,0.0,0.0
nn_identifiability,0.4406,25.3616,8.779533333333333,14.360570866554479
coverage_score,0.22,0.4,0.2966666666666667,0.0929157324317757
mmd,0.4319,0.7275,0.5622666666666666,0.15085291953864646
