,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.40476236102315166,0.4563295468175803,0.42729460861237073,0.026391426668991382
sanity.close_values_probability.score,0.06475485661424607,0.13135985198889916,0.09250693802035152,0.03466233856650359
sanity.distant_values_probability.score,0.01572617946345976,0.06105457909343201,0.038236201048411966,0.02266577300763127
stats.jensenshannon_dist.marginal,0.043749253851825175,0.06265348862993658,0.05153993635696744,0.00988046662647785
stats.inv_kl_divergence.marginal,0.22410305215165383,0.31903441415335504,0.28264497622235935,0.051196097063175
stats.ks_test.marginal,0.34133950046253464,0.6223644773358001,0.5114135060129509,0.14955069136871418
stats.max_mean_discrepancy.joint,0.061803558837210434,0.31951178388432283,0.15010159079497387,0.146757518808443
stats.wasserstein_dist.joint,0.10706694424152374,733.0458374023438,248.95949072142443,419.2863689337747
stats.alpha_precision.delta_precision_alpha_OC,0.018400000000000083,0.789664367816092,0.36082145593869736,0.3928278023518856
stats.alpha_precision.delta_coverage_beta_OC,0.016799999999999926,0.12319999999999998,0.05688888888888891,0.05784413283733884
stats.alpha_precision.authenticity_OC,0.812,0.942,0.898,0.07448489779814423
stats.alpha_precision.delta_precision_alpha_naive,0.008266666666666866,0.5532873563218391,0.3378513409961686,0.28988674564789885
stats.alpha_precision.delta_coverage_beta_naive,0.0017333333333333645,0.032400000000000095,0.012622222222222276,0.017157225019517917
stats.alpha_precision.authenticity_naive,0.976,1.0,0.9886666666666667,0.012055427546683426
stats.prdc.precision,0.008,0.5,0.24533333333333332,0.24645756903234547
stats.prdc.recall,0.0,0.517113783533765,0.25501079247610237,0.25862983343127993
stats.prdc.density,0.0036,0.22320000000000004,0.11653333333333334,0.10993404083055137
stats.prdc.coverage,0.0074005550416281225,0.06938020351526364,0.028368794326241134,0.035519933855394877
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.2854827803796794,0.43811430444917415,0.35163329541612914,0.07832044608244636
performance.linear_model.syn_ood,0.284806117113977,0.43785120954768486,0.3513049132358725,0.07846736122369023
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.2890700624877008,0.5305904361265105,0.42095950400281074,0.1222890168858315
performance.mlp.syn_ood,0.26902834008097165,0.5069838056680162,0.4079116059379217,0.12387248136815711
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760144,1.3597399555105182e-16
performance.xgb.syn_id,0.2823567911598376,0.49938738624059836,0.38369503204287225,0.10922499817837278
performance.xgb.syn_ood,0.28255070887906536,0.500401493208234,0.38406110494811924,0.1096799323463444
performance.feat_rank_distance.corr,-0.14283489048549072,0.3951011075660755,0.10530086054810454,0.27137747174214316
performance.feat_rank_distance.pvalue,5.49752533088823e-17,0.1631581614705867,0.057825084286415564,0.09136686191117327
detection.detection_xgb.mean,0.9993611111111111,1.0,0.999787037037037,0.0003688626719822416
detection.detection_gmm.mean,0.3980106246799795,0.6680535500938727,0.5524843118848496,0.1391616416448017
detection.detection_linear.mean,0.8856647892131763,0.9998426352619901,0.9383818057689025,0.057588938439593895
privacy.delta-presence.score,16.703703697517145,140.99999859000002,76.40123397667239,62.29292740350721
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,6.00000001,27.00000001,13.00000001,12.12435565298214
privacy.k-map.score,1.0,27.0,9.666666666666666,15.011106998930272
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,6.00000001,27.00000001,13.00000001,12.12435565298214
privacy.identifiability_score.,0.0027752081406105457,0.01572617946345976,0.007400555041628122,0.007225022826925676
privacy.identifiability_score._privacy.identifiability_score.OC,0.005550416281221091,0.04902867715078631,0.022201665124884366,0.023457395620917604
prdc_precision,0.008,0.332,0.16133333333333333,0.16269398677681157
prdc_recall,0.0,0.0,0.0,0.0
nn_identifiability,0.0473,10.8518,4.291133333333334,5.76281984651033
coverage_score,0.4244,0.7689,0.5718333333333333,0.1775321473236139
mmd,0.2428,0.8122,0.43739999999999996,0.32466616700851353
