,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.012864066461404065,0.036363815036076295,0.02098431348966942,0.013325994442726252
sanity.close_values_probability.score,0.9818181818181818,0.996969696969697,0.9909090909090909,0.008017428215347233
sanity.distant_values_probability.score,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0
stats.jensenshannon_dist.marginal,0.028092192770296336,0.033307656337717595,0.030154411086558846,0.002773629370567818
stats.inv_kl_divergence.marginal,0.3547351111493905,0.4534382716653138,0.4001205920720017,0.04982738509867474
stats.ks_test.marginal,0.5688990973565443,0.5939703153988868,0.5849475724095785,0.013934208869007278
stats.max_mean_discrepancy.joint,0.01096681307082971,0.10876827567601952,0.047724518347486124,0.05323195248277526
stats.wasserstein_dist.joint,75757.8125,427271.5625,271042.5625,178981.82258489967
stats.alpha_precision.delta_precision_alpha_OC,0.30757161101988684,0.6867938371239912,0.4348565099255104,0.2181880956934121
stats.alpha_precision.delta_coverage_beta_OC,0.03309692671394804,0.09629629629629632,0.06671384077665743,0.03179225881725579
stats.alpha_precision.authenticity_OC,0.9047619047619048,0.9326241134751773,0.9185844550586192,0.013932373112548559
stats.alpha_precision.delta_precision_alpha_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0
stats.prdc.precision,0.8404255319148937,0.9682539682539683,0.9090156157025459,0.0644252934961046
stats.prdc.recall,0.8666666666666667,1.0,0.9545454545454546,0.07612034355806342
stats.prdc.density,0.425531914893617,0.8122448979591838,0.682962641321304,0.2229422695452102
stats.prdc.coverage,0.24242424242424243,0.4121212121212121,0.3060606060606061,0.09246149274177186
performance.linear_model.gt,0.5104160533806608,0.5104160533806608,0.5104160533806608,0.0
performance.linear_model.syn_id,-149691488.93506187,-692.752851912819,-64221842.393428504,77074363.96644247
performance.linear_model.syn_ood,-163329463.47823033,-774.3665965456378,-70074169.03286447,84095871.06248015
performance.mlp.gt,-2.2988603115081787,-2.2988603115081787,-2.2988603115081787,0.0
performance.mlp.syn_id,-2.330295753479004,-2.3149742126464843,-2.321808354059855,0.007793417087253474
performance.mlp.syn_ood,-3.279510021209717,-3.2593488693237305,-3.26801331837972,0.010374693124268105
performance.xgb.gt,0.4757465958595276,0.4757465958595276,0.47574659585952767,6.798699777552591e-17
performance.xgb.syn_id,-14.866876029968262,0.23418686389923096,-4.922630747159322,8.613949321612962
performance.xgb.syn_ood,-16.966734886169434,0.2166967511177063,-5.64845423301061,9.804083236018332
performance.feat_rank_distance.corr,0.31622776601683794,0.7,0.505409255338946,0.19194329091322299
performance.feat_rank_distance.pvalue,0.031514421132600307,0.34162967346724316,0.1658873844453522,0.15914280776983428
detection.detection_xgb.mean,0.9984848484848484,0.9984848484848484,0.9984848484848484,0.0
detection.detection_gmm.mean,0.10714285714285714,0.5712121212121213,0.39068398268398274,0.24859369880077506
detection.detection_linear.mean,0.967878787878788,1.0,0.9892929292929292,0.018545190464878816
privacy.delta-presence.score,6.333333326296295,93.99999906000002,50.44444395876544,43.835973260296726
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,20.00000001,7.333333343333334,10.96965511460289
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,20.00000001,7.333333343333334,10.96965511460289
privacy.identifiability_score.,0.0,0.0,0.0,0.0
privacy.identifiability_score._privacy.identifiability_score.OC,0.0,0.0,0.0,0.0
prdc_precision,0.3492,0.5918,0.45670000000000005,0.12363256043615695
prdc_recall,0.0303,0.2273,0.11113333333333335,0.10314350844010171
nn_identifiability,0.1723,0.2121,0.19110000000000002,0.019990997974088237
coverage_score,0.55,0.7,0.6166666666666666,0.07637626158259729
mmd,0.2694,0.4212,0.34736666666666666,0.07598436242631333
