,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,
sanity.common_rows_proportion.score,0.0,0.0,0.0,
sanity.nearest_syn_neighbor_distance.mean,0.37089406769973465,0.37089406769973465,0.37089406769973465,
sanity.close_values_probability.score,0.4444444444444444,0.4444444444444444,0.4444444444444444,
sanity.distant_values_probability.score,0.1388888888888889,0.1388888888888889,0.1388888888888889,
stats.jensenshannon_dist.marginal,0.05056337414086921,0.05056337414086921,0.05056337414086921,
stats.inv_kl_divergence.marginal,0.193891523486129,0.193891523486129,0.193891523486129,
stats.ks_test.marginal,0.4878996199418734,0.4878996199418734,0.4878996199418734,
stats.max_mean_discrepancy.joint,0.03482017660011883,0.03482017660011883,0.03482017660011883,
stats.wasserstein_dist.joint,1.3768439292907715,1.3768439292907715,1.3768439292907715,
stats.alpha_precision.delta_precision_alpha_OC,0.3777777777777779,0.3777777777777779,0.3777777777777779,
stats.alpha_precision.delta_coverage_beta_OC,0.29527458492975744,0.29527458492975744,0.29527458492975744,
stats.alpha_precision.authenticity_OC,0.6666666666666666,0.6666666666666666,0.6666666666666666,
stats.alpha_precision.delta_precision_alpha_naive,0.22777777777777775,0.22777777777777775,0.22777777777777775,
stats.alpha_precision.delta_coverage_beta_naive,0.04629629629629639,0.04629629629629639,0.04629629629629639,
stats.alpha_precision.authenticity_naive,0.9722222222222222,0.9722222222222222,0.9722222222222222,
stats.prdc.precision,0.9788732394366197,0.9788732394366197,0.9788732394366197,
stats.prdc.recall,0.3055555555555556,0.3055555555555556,0.3055555555555556,
stats.prdc.density,0.6859154929577466,0.6859154929577466,0.6859154929577466,
stats.prdc.coverage,0.4444444444444444,0.4444444444444444,0.4444444444444444,
performance.linear_model.gt,0.9620535714285714,0.9620535714285714,0.9620535714285714,
performance.linear_model.syn_id,0.35912952874372106,0.35912952874372106,0.35912952874372106,
performance.linear_model.syn_ood,0.3629145408163265,0.3629145408163265,0.3629145408163265,
performance.mlp.gt,0.43550000000000005,0.43550000000000005,0.43550000000000005,
performance.mlp.syn_id,0.44383333333333325,0.44383333333333325,0.44383333333333325,
performance.mlp.syn_ood,0.62890625,0.62890625,0.62890625,
performance.xgb.gt,0.9923150510204082,0.9923150510204082,0.9923150510204082,
performance.xgb.syn_id,0.5122668895144264,0.5122668895144264,0.5122668895144264,
performance.xgb.syn_ood,0.49907525510204076,0.49907525510204076,0.49907525510204076,
performance.feat_rank_distance.corr,-0.3227977164368226,-0.3227977164368226,-0.3227977164368226,
performance.feat_rank_distance.pvalue,0.03119307038186251,0.03119307038186251,0.03119307038186251,
detection.detection_xgb.mean,0.9960239268121042,0.9960239268121042,0.9960239268121042,
detection.detection_gmm.mean,0.7828289936664321,0.7828289936664321,0.7828289936664321,
detection.detection_linear.mean,0.9928571428571429,0.9928571428571429,0.9928571428571429,
privacy.delta-presence.score,6.666666644444445,6.666666644444445,6.666666644444445,
privacy.k-anonymization.gt,16.0,16.0,16.0,
privacy.k-anonymization.syn,5.00000001,5.00000001,5.00000001,
privacy.k-map.score,3.0,3.0,3.0,
privacy.distinct l-diversity.gt,16.0,16.0,16.0,
privacy.distinct l-diversity.syn,5.00000001,5.00000001,5.00000001,
privacy.identifiability_score.,0.25,0.25,0.25,
privacy.identifiability_score._privacy.identifiability_score.OC,0.4722222222222222,0.4722222222222222,0.4722222222222222,
prdc_precision,0.2465,0.2465,0.2465,
prdc_recall,0.2222,0.2222,0.2222,
nn_identifiability,0.9253,0.9253,0.9253,
coverage_score,0.5154,0.5154,0.5154,
mmd,0.3494,0.3494,0.3494,
